id,srno,eventDate,subject_title,debateType,sizeOfVideo,videoUrl
2980,2415,2023-12-04,Report laid on the Table,Papers laid on the Table,19 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2735-12-04-2023.mp4?source=membersrsmedia
2981,2415,2023-12-04,Matter raised with the permission of the Chair,Special Mention,38 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2762-12-04-2023.mp4?source=membersrsmedia
2982,2415,2023-02-09,Question Hour,Question Hour,31 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1502-09-02-2023.mp4?source=membersrsmedia
2983,2415,2022-12-12,Special Mention,Special Mention,47 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video349-12-12-2022.mp4?source=membersrsmedia
2984,2415,2022-12-09,Question Hour,Question Hour,10 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video281-09-12-2022.mp4?source=membersrsmedia
2985,2415,2022-12-09,Private Members Bill,Private Member's Bill,32 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video294-09-12-2022.mp4?source=membersrsmedia
2986,2415,2022-12-08,Matter raised with the permission of the Chair,Special Mention,54 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video179-08-12-2022.mp4?source=membersrsmedia
2987,2415,2022-12-08,Special Mention,Special Mention,30 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video240-08-12-2022.mp4?source=membersrsmedia
2988,2415,2022-12-07,"Felicitation to the Honourable Chairman, Rajya Sabha",Submission by members,56 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video93-07-12-2022.mp4?source=membersrsmedia
2989,2415,2022-08-02,Zero Hour,Special Mention,272 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1262-02-08-2022.mp4?source=membersrsmedia
2990,2416,2025-12-18,Zero Hour,Special Mention,35 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9785-12-18-2025.mp4?source=membersrsmedia
2991,2416,2025-12-18,Discussion on The Sustainable Harnessing and Advancement of Nuclear Energy for Transforming India Bill 2025,Government Bills,61 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9844-12-18-2025.mp4?source=membersrsmedia
2992,2416,2025-12-10,Discussion on the 150th Anniversary of the National Song Vande Mataram...,Business of House,71 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9391-12-10-2025.mp4?source=membersrsmedia
2993,2416,2025-04-03,The Waqf Amendment Bill 2025 and The Mussalman Wakf Repeal Bill 2024,Government Bills,113 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7812-04-03-2025.mp4?source=membersrsmedia
2994,2416,2025-03-17,Question Hour,Question Hour,37 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7009-03-17-2025.mp4?source=membersrsmedia
2995,2416,2025-03-12,Question Hour,Question Hour,97 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6955-03-12-2025.mp4?source=membersrsmedia
2996,2416,2025-03-11,DISCUSSION ON THE WORKING OF THE MINISTRY OF EDUCATION,Union Budget,80 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6878-03-11-2025.mp4?source=membersrsmedia
2997,2416,2025-02-10,General Discussion on the Union Budget 2025-26,Union Budget,94 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6568-02-10-2025.mp4?source=membersrsmedia
2998,2416,2025-02-07,Matters  raised with the permission of the Chair,Special Mention,54 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6427-02-07-2025.mp4?source=membersrsmedia
2999,2416,2025-02-04,Motion of thanks to the Presidents Address,Motion of thanks to the President's Address,88 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6329-02-04-2025.mp4?source=membersrsmedia
3000,2416,2024-12-17,Discussion on 75th years of Constitution of India,Business of House,49 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6143-12-17-2024.mp4?source=membersrsmedia
3001,2416,2024-12-06,Matters raised with the permission of the Chair,Special Mention,54 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5937-12-06-2024.mp4?source=membersrsmedia
3002,2416,2024-08-08,Zero hour,Special Mention,26 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5506-08-08-2024.mp4?source=membersrsmedia
3003,2416,2024-08-08,The Appropriation Bill 2024,Union Budget,91 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5565-08-08-2024.mp4?source=membersrsmedia
3004,2416,2024-08-07,Question Hour,Question Hour,63 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5456-08-07-2024.mp4?source=membersrsmedia
3005,2416,2024-07-30,Matters raised with the permission of the Chair,Special Mention,12 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4899-07-30-2024.mp4?source=membersrsmedia
3006,2416,2024-07-30,Discussion on Union Budget 2024-25,Union Budget,90 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4971-07-30-2024.mp4?source=membersrsmedia
3007,2416,2024-07-29,Special Mention,Special Mention,502 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4799-07-29-2024.mp4?source=membersrsmedia
3008,2416,2024-07-26,Question Hour,Question Hour,23 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4744-07-26-2024.mp4?source=membersrsmedia
3009,2416,2024-07-24,Matters raised with the permission of the chair,Special Mention,32 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4584-07-24-2024.mp4?source=membersrsmedia
3010,2416,2024-07-02,Oath or Affirmation,Oath Taking,42 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4397-07-02-2024.mp4?source=membersrsmedia
3011,2416,2024-07-02,Motion of thanks to the Presidents Address,Motion of thanks to the President's Address,104 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4442-07-02-2024.mp4?source=membersrsmedia
3012,2416,2023-12-07,Matter raised with the permission of the Chair,Special Mention,52 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2990-12-07-2023.mp4?source=membersrsmedia
3013,2416,2023-12-06,Question and its reply during Question Hour in Rajya Sabha,Question Hour,25 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2932-12-06-2023.mp4?source=membersrsmedia
3014,2416,2023-12-05,Short Duration Discussion on the Economic Situation in the Country,Discussion Under Rule 193,70 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2867-12-05-2023.mp4?source=membersrsmedia
3015,2416,2023-09-21,"The Constitution (One Hundred and Twenty Eighth Amendment) BIll, 2023",Government Bills,61 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2705-09-21-2023.mp4?source=membersrsmedia
3016,2416,2023-09-18,"Discussion on Parliamentary Journey of 75 years Starting from Samvidhan Sabha - Achievements, Experiences, Memories and Learnings.",Business of House,75 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2539-18-09-2023.mp4?source=membersrsmedia
3017,2416,2023-08-07,"The Government of National Capital Territory of Delhi (Amendment) Bill, 2023",Government Bills,60 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2250-07-08-2023.mp4?source=membersrsmedia
3018,2416,2023-02-09,Matter raised with the permissio of the Chair,Special Mention,21 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1495-09-02-2023.mp4?source=membersrsmedia
3019,2416,2023-02-09,Question Hour,Question Hour,99 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1499-09-02-2023.mp4?source=membersrsmedia
3020,2416,2022-12-21,Special Mention,Special Mention,42 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video978-21-12-2022.mp4?source=membersrsmedia
3021,2416,2022-12-20,Question Hour,Question Hour,28 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video892-20-12-2022.mp4?source=membersrsmedia
3022,2416,2022-12-20,"The Appropriation Bill (No 5), 2022 and Appropriation (No 4) Bill, 2022",Government Bills,75 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video930-20-12-2022.mp4?source=membersrsmedia
3023,2416,2022-12-15,Question Hour,Question Hour,19 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video656-15-12-2022.mp4?source=membersrsmedia
3024,2416,2022-12-09,Question Hour,Question Hour,77 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video283-09-12-2022.mp4?source=membersrsmedia
3025,2416,2022-12-07,"Felicitation to the Honourable Chairman, Rajya Sabha",Submission by members,23 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video110-07-12-2022.mp4?source=membersrsmedia
3026,2416,2022-12-07,The Wild Life (Protection) Amendment Bill 2022,Government Bills,78 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video149-07-12-2022.mp4?source=membersrsmedia
3027,2416,2022-08-02,Zero Hour,Special Mention,27 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1254-02-08-2022.mp4?source=membersrsmedia
3028,2418,2023-03-21,Birthday Greetings by the Honorable Chairman Rajya Sabha,Special Mention,12 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1725-21-03-2023.mp4?source=membersrsmedia
3029,2418,2022-12-21,Special Mention,Special Mention,21 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1060-21-12-2022.mp4?source=membersrsmedia
3030,2419,2024-06-28,Motion of thanks to the Presidents Address,Motion of thanks to the President's Address,360 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4360-06-28-2024.mp4?source=membersrsmedia
3031,2419,2024-06-27,Papers laid on the Table,Papers laid on the Table,16 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4342-06-27-2024.mp4?source=membersrsmedia
3032,2419,2024-02-09,"The Jammu and Kashmir Local Bodies Laws (Amendment) Bill, 2024 - The Constitution (Jammu and Kashmir) Scheduled Castes Order (Amendment) Bill, 2024 and The Constitution (Jammu and Kashmir) Scheduled Tribes Order (Amendment) Bill, 2024",Government Bills,215 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4239-02-09-2024.mp4?source=membersrsmedia
3033,2419,2024-02-08,Valedictory Reference - Farewell to the Retiring Member,Valedictory Reference,76 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4154-02-08-2024.mp4?source=membersrsmedia
3034,2419,2024-02-06,Question Hour,Question Hour,22 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3916-02-06-2024.mp4?source=membersrsmedia
3035,2419,2024-02-06,Question Hour .,Question Hour,7 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3929-02-06-2024.mp4?source=membersrsmedia
3036,2419,2024-02-02,Question Hour,Question Hour,26 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3758-02-02-2024.mp4?source=membersrsmedia
