id,srno,eventDate,subject_title,debateType,sizeOfVideo,videoUrl
1,10,2025-12-01,Felicitations to the Honourable Chairman,Business of House,145 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8569-12-01-2025.mp4?source=membersrsmedia
2,10,2025-07-24,Farewell to the Retiring Members,Submission by members,46 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7980-07-24-2025.mp4?source=membersrsmedia
3,10,2025-02-03,BIRTHDAY GREETINGS,Announcement by Chair,18 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6210-02-03-2025.mp4?source=membersrsmedia
4,10,2024-02-02,Birthday Greetings in advance,Announcement by Chair,53 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3731-02-02-2024.mp4?source=membersrsmedia
5,10,2022-12-16,Parliamentary Question,Question Hour,71 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video731-16-12-2022.mp4?source=membersrsmedia
6,10,2022-12-09,Question Hour,Question Hour,75 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video275-09-12-2022.mp4?source=membersrsmedia
7,10,2022-12-07,"Felicitation to the Honourable Chairman, Rajya Sabha",Submission by members,38 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video95-07-12-2022.mp4?source=membersrsmedia
8,74,2025-12-16,Discussion on Election Reforms,Business of House,83 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9499-12-16-2025.mp4?source=membersrsmedia
9,74,2025-12-10,Discussion on the 150th Anniversary of the National Song Vande Mataram,Business of House,147 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9247-12-10-2025.mp4?source=membersrsmedia
10,74,2025-07-30,Discussion on Operation Sindoor,Business of House,173 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8093-07-30-2025.mp4?source=membersrsmedia
11,74,2025-04-03,The Waqf Amendment Bill 2025 and The Mussalman Wakf Repeal Bill 2024,Government Bills,319 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7800-04-03-2025.mp4?source=membersrsmedia
12,74,2025-02-11,Disscussion on Union Budget 2025-26,Union Budget,266 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6644-02-11-2025.mp4?source=membersrsmedia
13,74,2024-12-16,Discussion on 75th years of Constitution of India,Business of House,200 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6088-12-16-2024.mp4?source=membersrsmedia
14,74,2024-08-08,Birthday Greetings,Special Mention,73 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5507-08-08-2024.mp4?source=membersrsmedia
15,74,2024-07-25,Discussion on Union Budget 2024-2025,Union Budget,264 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4695-07-25-2024.mp4?source=membersrsmedia
16,74,2023-09-21,"The Constitution (One Hundred and Twenty Eighth Amendment) BIll, 2023",Government Bills,81 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2716-09-21-2023.mp4?source=membersrsmedia
17,74,2023-09-20,Discussion on India s Glorious Space Journey Marked by Successful Soft Landing of Chandrayaan - 3,Discussion Under Rule 193,138 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2574-20-09-2023.mp4?source=membersrsmedia
18,74,2022-07-22,Oath,Motion of thanks to the President's Address,34 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video56-22-07-2022.mp4?source=membersrsmedia
19,74,2022-07-22,Oath Taking by Shri Kapil Sibal as M.P. Rajya Sabha,Oath Taking,34 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1348-22-07-2022.mp4?source=membersrsmedia
20,74,2022-07-18,Oath Taking,Oath Taking,13 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1393-18-07-2022.mp4?source=membersrsmedia
21,89,2025-08-04,Obituary Reference of Shri Shibu Soren,Obituary Reference,56 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8163-08-04-2025.mp4?source=membersrsmedia
22,109,2025-12-18,Question Hour,Question Hour,110 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9777-12-18-2025.mp4?source=membersrsmedia
23,109,2025-12-18,Discussion on The Sustainable Harnessing and Advancement of Nuclear Energy for Transforming India Bill 2025,Government Bills,98 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9835-12-18-2025.mp4?source=membersrsmedia
24,109,2025-12-15,Discussion on Election Reforms.,Business of House,323 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9597-12-15-2025.mp4?source=membersrsmedia
25,109,2025-12-11,Reports of the Department related to Parliamentary Standing Committee on Health and Family Welfare,Parliamentary Committees,42 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9289-12-11-2025.mp4?source=membersrsmedia
26,109,2025-07-29,Discussion on Operation Sindoor,Business of House,157 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8047-07-29-2025.mp4?source=membersrsmedia
27,109,2025-07-24,Farewell to the Retiring Members,Submission by members,84 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7982-07-24-2025.mp4?source=membersrsmedia
28,109,2025-04-03,The Waqf Amendment Bill 2025 and The Mussalman Wakf Repeal Bill 2024,Government Bills,201 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7798-04-03-2025.mp4?source=membersrsmedia
29,109,2025-04-01,Hon. Member Presented his Opinion in the House,Special Mention,24 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7603-04-01-2025.mp4?source=membersrsmedia
30,109,2025-03-19,Matters raised with the permission of Chair,Special Mention,57 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7184-03-19-2025.mp4?source=membersrsmedia
31,109,2025-02-10,General Discussion on the Union Budget 2025-26,Union Budget,99 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6576-02-10-2025.mp4?source=membersrsmedia
32,109,2025-02-06,Deportation of Indians from United States of America,Submission by members,17 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6391-02-06-2025.mp4?source=membersrsmedia
33,109,2024-12-17,Discussion on 75th years of Constitution of India,Business of House,111 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6144-12-17-2024.mp4?source=membersrsmedia
34,109,2024-12-05,Question hour,Question Hour,62 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5875-12-05-2024.mp4?source=membersrsmedia
35,109,2024-12-03,Matters raised with the permission of the Chair,Special Mention,33 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5733-12-03-2024.mp4?source=membersrsmedia
36,109,2024-12-03,Matters raised with the permission of the Chair ....,Special Mention,222 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5820-12-03-2024.mp4?source=membersrsmedia
37,109,2024-08-06,Zero hour,Special Mention,95 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5342-08-06-2024.mp4?source=membersrsmedia
38,109,2024-08-06,Working of  ministry of new and renewable energy,Business of House,51 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5395-08-06-2024.mp4?source=membersrsmedia
39,109,2024-08-01,Demands for grants (Agriculture and Farmers Welfare),Union Budget,210 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5175-08-01-2024.mp4?source=membersrsmedia
40,109,2024-07-29,Matters raised with the permission of the Chair,Special Mention,845 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4804-07-29-2024.mp4?source=membersrsmedia
41,109,2024-07-22,Online and Offline Notice Issue,Submission by members,45 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4506-07-22-2024.mp4?source=membersrsmedia
42,109,2024-07-02,Discussion on motion of thanks to the President address,Motion of thanks to the President's Address,355 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4487-07-02-2024.mp4?source=membersrsmedia
43,109,2024-06-28,Birthday Greetings,Announcement by Chair,72 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4344-06-28-2024.mp4?source=membersrsmedia
44,109,2023-12-12,Question Hour,Question Hour,27 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3310-12-12-2023.mp4?source=membersrsmedia
45,109,2023-12-12,".The Chief Election Commissioner and Other Election Commissioners (Appointment, Conditions of Service and Term of Office) Bill, 2023",Government Bills,80 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3461-12-12-2023.mp4?source=membersrsmedia
46,109,2023-12-06,Short Duration Discussion on the Economica Situation in the Countary,Discussion Under Rule 193,184 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2940-12-06-2023.mp4?source=membersrsmedia
47,109,2023-12-05,Matter raised with the permission of the Chair,Special Mention,58 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2814-12-05-2023.mp4?source=membersrsmedia
48,109,2023-09-18,"Discussion on Parliamentary Journey of 75 years Starting from Samvidhan Sabha - Achievements, Experiences, Memories and Learnings.",Business of House,103 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2549-18-09-2023.mp4?source=membersrsmedia
49,109,2023-03-15,Laying of Papers,Papers laid on the Table,19 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1699-15-03-2023.mp4?source=membersrsmedia
50,109,2023-02-10,General discussion on the Union Budget 2023-24,Union Budget,11 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1590-10-02-2023.mp4?source=membersrsmedia
51,109,2022-12-20,"The Appropriation Bill (No 5), 2022 and Appropriation (No 4) Bill, 2022",Government Bills,103 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video939-20-12-2022.mp4?source=membersrsmedia
52,109,2022-12-15,Short Duration Discussion on the Serious Efforts of Global Warming and the Need for Remedial Steps to Tackle it.,Discussion Under Rule 193,115 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video684-15-12-2022.mp4?source=membersrsmedia
53,109,2022-12-09,Private Members Bill,Private Member's Bill,64 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video298-09-12-2022.mp4?source=membersrsmedia
54,109,2022-12-07,"Felicitation to the Honourable Chairman, Rajya Sabha",Submission by members,43 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video117-07-12-2022.mp4?source=membersrsmedia
55,109,2022-08-08,"Central Universities Amendment Bill, 2022",Government Bills,53 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video17-08-08-2022.mp4?source=membersrsmedia
56,109,2022-08-08,Central Universities (Amendment) Bill 2022,Government Bills,53 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1315-08-08-2022.mp4?source=membersrsmedia
57,109,2022-08-02,Zero Hour,Special Mention,101 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1223-02-08-2022.mp4?source=membersrsmedia
58,175,2025-12-11,Question Hour,Question Hour,27 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9298-12-11-2025.mp4?source=membersrsmedia
59,175,2025-12-11,Intervention 1,Submission by members,19 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9331-12-11-2025.mp4?source=membersrsmedia
60,175,2025-12-09,Question Hour,Question Hour,21 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9098-12-09-2025.mp4?source=membersrsmedia
61,175,2025-12-01,Felicitations to the Honourable Chairman,Business of House,87 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8593-12-01-2025.mp4?source=membersrsmedia
62,175,2025-07-21,Birthday Greetings,Announcement by Chair,33 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7878-07-21-2025.mp4?source=membersrsmedia
63,175,2025-04-01,Disparity in healthcare funding across States,Question Hour,50 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7621-04-01-2025.mp4?source=membersrsmedia
64,175,2025-03-28,Question Hour,Question Hour,25 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7532-03-28-2025.mp4?source=membersrsmedia
65,175,2025-03-27,"The Finance Bill, 2025",Union Budget,228 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7493-03-27-2025.mp4?source=membersrsmedia
66,175,2025-03-25,Point of Order during Question Hour,Question Hour,20 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7336-03-25-2025.mp4?source=membersrsmedia
67,175,2025-03-17,Question Hour,Question Hour,35 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7016-03-17-2025.mp4?source=membersrsmedia
68,175,2025-02-10,Investigation of coal scam,Question Hour,21 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6548-02-10-2025.mp4?source=membersrsmedia
69,175,2025-02-10,General Discussion on the Union Budget 2025-26,Union Budget,261 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6580-02-10-2025.mp4?source=membersrsmedia
70,175,2025-02-07,Trade Barriers with EU,Question Hour,117 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6447-02-07-2025.mp4?source=membersrsmedia
71,175,2025-02-06,Question Hour,Question Hour,63 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6366-02-06-2025.mp4?source=membersrsmedia
72,175,2025-02-06,DISCUSSION ON MOTION OF THANKS ON THE PRESIDENT’S ADDRESS,Motion of thanks to the President's Address,79 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6380-02-06-2025.mp4?source=membersrsmedia
73,175,2024-12-17,Discussion on 75th years of Constitution of India,Business of House,67 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6136-12-17-2024.mp4?source=membersrsmedia
74,175,2024-12-09,Submission by Member,Submission by members,8 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5981-12-09-2024.mp4?source=membersrsmedia
75,175,2024-08-09,Special Mention,Special Mention,52 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5617-08-09-2024.mp4?source=membersrsmedia
76,175,2024-08-08,Question Hour,Question Hour,23 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5533-08-08-2024.mp4?source=membersrsmedia
77,175,2024-08-08,Special Mention,Special Mention,33 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5581-08-08-2024.mp4?source=membersrsmedia
78,175,2024-08-02,Question Hour,Question Hour,19 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5219-08-02-2024.mp4?source=membersrsmedia
79,175,2024-07-29,Matters raised with the permission of the Chair,Special Mention,499 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4805-07-29-2024.mp4?source=membersrsmedia
80,175,2024-07-29,Question Hour,Question Hour,93 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4822-07-29-2024.mp4?source=membersrsmedia
81,175,2024-07-29,Discussion on Union Budget 2024-25,Union Budget,187 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4861-07-29-2024.mp4?source=membersrsmedia
82,175,2024-07-22,Reply to boost domestic supply of minerals,Question Hour,22 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4548-07-22-2024.mp4?source=membersrsmedia
83,175,2024-02-09,Question Hour,Question Hour,52 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4215-02-09-2024.mp4?source=membersrsmedia
84,175,2024-02-05,Question Hour,Question Hour,21 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3853-02-05-2024.mp4?source=membersrsmedia
85,175,2024-02-02,Matter raised with the permission of the Chair,Special Mention,50 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3724-02-02-2024.mp4?source=membersrsmedia
86,175,2023-12-13,Matters raised with the permission of the Chair,Special Mention,55 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3363-12-13-2023.mp4?source=membersrsmedia
87,175,2023-12-12,Question Hour,Question Hour,29 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3313-12-12-2023.mp4?source=membersrsmedia
88,175,2023-12-08,Question Hour,Question Hour,45 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3088-12-08-2023.mp4?source=membersrsmedia
89,175,2023-12-08,Private Members Bill,Private Member's Bill,26 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3119-12-08-2023.mp4?source=membersrsmedia
90,175,2023-12-06,Matter raised with the permission of the Chair,Special Mention,38 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2900-12-06-2023.mp4?source=membersrsmedia
91,175,2023-12-06,Question and its reply during Question Hour in Rajya Sabha,Question Hour,34 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2938-12-06-2023.mp4?source=membersrsmedia
92,175,2023-12-05,Short Duration Discussion on the Economic Situation in the Country,Discussion Under Rule 193,244 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2863-12-05-2023.mp4?source=membersrsmedia
93,175,2023-12-04,Question and its reply in Rajya Sabha during Question Hour,Question Hour,81 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2807-12-04-2023.mp4?source=membersrsmedia
94,175,2023-09-18,"Discussion on Parliamentary Journey of 75 years Starting from Samvidhan Sabha - Achievements, Experiences, Memories and Learnings.",Business of House,92 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2547-18-09-2023.mp4?source=membersrsmedia
95,175,2023-08-11,Valedictory Reference,Valedictory Reference,12 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2502-11-08-2023.mp4?source=membersrsmedia
96,175,2023-08-08,Submission by Honorable Members,Submission by members,16 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2319-08-08-2023.mp4?source=membersrsmedia
97,175,2023-08-03,Report laid on the Table,Papers laid on the Table,8 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2141-03-08-2023.mp4?source=membersrsmedia
98,175,2023-03-14,Special Mention,Special Mention,11 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1656-14-03-2023.mp4?source=membersrsmedia
99,175,2022-12-21,Special Mention,Special Mention,27 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video985-21-12-2022.mp4?source=membersrsmedia
100,175,2022-12-15,Question Hour,Question Hour,123 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video646-15-12-2022.mp4?source=membersrsmedia
101,175,2022-07-18,Oath,Oath Taking,15 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video26-18-07-2022.mp4?source=membersrsmedia
102,175,2022-07-18,Oath Taking,Oath Taking,15 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1375-18-07-2022.mp4?source=membersrsmedia
103,177,2025-12-18,Matters raised with the permission of the Chair,Special Mention,74 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9763-12-18-2025.mp4?source=membersrsmedia
104,177,2025-12-18,Motion for Moving Advancements on The Sustainable Harnessing and Amendment of Nuclear Energy for Transforming India Bill 2025,Government Bills,30 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9808-12-18-2025.mp4?source=membersrsmedia
105,177,2025-12-18,Discussion on The Sustainable Harnessing and Advancement of Nuclear Energy for Transforming India Bill 2025(Intervene),Government Bills,29 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9818-12-18-2025.mp4?source=membersrsmedia
106,177,2025-12-18,Point of Order,Government Bills,8 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9856-12-18-2025.mp4?source=membersrsmedia
107,177,2025-12-18,"Amendment on The Sustainable Harnessing and Advancement of Nuclear Energy for Transforming India Bill 2025,Clause 13",Government Bills,21 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9936-12-18-2025.mp4?source=membersrsmedia
108,177,2025-12-18,"Amendment on The Sustainable Harnessing and Advancement of Nuclear Energy for Transforming India Bill 2025,Clause 14",Government Bills,16 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9940-12-18-2025.mp4?source=membersrsmedia
109,177,2025-12-18,"Amendment on The Sustainable Harnessing and Advancement of Nuclear Energy for Transforming India Bill 2025,second SHEDULE",Government Bills,10 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9945-12-18-2025.mp4?source=membersrsmedia
110,177,2025-12-18,"Amendment on The Sustainable Harnessing and Advancement of Nuclear Energy for Transforming India Bill 2025,Clause 69",Government Bills,9 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9951-12-18-2025.mp4?source=membersrsmedia
111,177,2025-12-18,"Amendment on The Sustainable Harnessing and Advancement of Nuclear Energy for Transforming India Bill 2025,Clause 68",Government Bills,9 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9953-12-18-2025.mp4?source=membersrsmedia
112,177,2025-12-18,"Amendment on The Sustainable Harnessing and Advancement of Nuclear Energy for Transforming India Bill 2025,Clause 26",Government Bills,21 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9964-12-18-2025.mp4?source=membersrsmedia
113,177,2025-12-18,"Amendment on The Sustainable Harnessing and Advancement of Nuclear Energy for Transforming India Bill 2025,Clause 17",Government Bills,8 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9967-12-18-2025.mp4?source=membersrsmedia
114,177,2025-12-17,Question Hour,Question Hour,53 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9647-12-17-2025.mp4?source=membersrsmedia
115,177,2025-12-17,Amendment moving Clause 1 of The Sabka Bima Sabki Raksha Amendment of Insurance Laws Bill 2025,Government Bills,27 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9739-12-17-2025.mp4?source=membersrsmedia
116,177,2025-12-17,Amendment moving Clause 7 of The Sabka Bima Sabki Raksha Amendment of Insurance Laws Bill 2025,Government Bills,43 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9744-12-17-2025.mp4?source=membersrsmedia
117,177,2025-12-17,Amendment moving Clause 20 of The Sabka Bima Sabki Raksha Amendment of Insurance Laws Bill 2025,Government Bills,12 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9748-12-17-2025.mp4?source=membersrsmedia
118,177,2025-12-17,Amendment moving Clause 24 of The Sabka Bima Sabki Raksha Amendment of Insurance Laws Bill 2025,Government Bills,12 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9749-12-17-2025.mp4?source=membersrsmedia
119,177,2025-12-17,Amendment moving Clause 71 of The Sabka Bima Sabki Raksha Amendment of Insurance Laws Bill 2025,Government Bills,22 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9752-12-17-2025.mp4?source=membersrsmedia
120,177,2025-12-16,Intravention 1,Submission by members,18 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9586-12-16-2025.mp4?source=membersrsmedia
121,177,2025-12-15,Point of Order,Submission by members,9 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9459-12-15-2025.mp4?source=membersrsmedia
122,177,2025-12-11,Point of order,Ruling by the Speaker,15 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9319-12-11-2025.mp4?source=membersrsmedia
123,177,2025-12-10,Question Hour,Question Hour,202 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9187-12-10-2025.mp4?source=membersrsmedia
124,177,2025-12-09,Discussion on the 150th Anniversary of the National Song Vande Mataram...4,Business of House,662 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9341-12-09-2025.mp4?source=membersrsmedia
125,177,2025-12-08,Intervention during during the reply on The Health Security se National Security Cess Bill 2025,Government Bills,20 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9051-12-08-2025.mp4?source=membersrsmedia
126,177,2025-12-04,Question Hour,Question Hour,60 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8816-12-04-2025.mp4?source=membersrsmedia
127,177,2025-12-03,Special mention,Special Mention,127 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8712-12-03-2025.mp4?source=membersrsmedia
128,177,2025-12-02,Point of Order Rule 239,Submission by members,141 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8650-12-02-2025.mp4?source=membersrsmedia
129,177,2025-12-02,Intervention 1,Submission by members,422 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8662-12-02-2025.mp4?source=membersrsmedia
130,177,2025-12-01,Felicitations to the Honourable Chairman,Business of House,286 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8562-12-01-2025.mp4?source=membersrsmedia
131,177,2025-12-01,Intervention,Submission by members,556 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8635-12-01-2025.mp4?source=membersrsmedia
