id,srno,billno,billName,introducedInHouse,introducedDate,ministry,member,billCategory,datePassed_in_LS,datePassed_in_RS,reportPresented,actNoAndYear,status,pdfUrl
1,2317,XL,"The Safeguarding and Adjudicating Farmers’ Economic Rights Commission Bill, 2018",Rajya Sabha,2019-07-12,AGRICULTURE,Partap Singh Bajwa Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/safeguarding-E-12719.pdf?source=legislation
2,1922,XVI,"The National Films Development Authority Bill, 2006",Rajya Sabha,2007-03-16,INFORMATION AND BROADCASTING,Hema Malini Smt.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/1203rs.pdf?source=legislation
3,1922,XVIII,"The Jhuggi-Jhopri, Slums and Pavement Dwellers (Basic Amenities, Welfare and Miscellaneous Provisions) Bill, 2006",Rajya Sabha,2007-03-16,HOUSING AND URBAN POVERTY ALLEVIATION,Hema Malini Smt.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/1205rs.pdf?source=legislation
4,1922,XCI,"The Film Industry (Protection and Promotion) Bill, 2005",Rajya Sabha,2005-09-12,INFORMATION AND BROADCASTING,Hema Malini Smt.,Ordinary Bill,,,,,Lapsed,
5,1548,LIV,"Teh pensions (Regnlation) Bill,1974.",Rajya Sabha,1975-03-14,,Viswanatha Menon Shri,Ordinary Bill,,,,,Withdrawn,
6,1161,I,"The Punishment for Molestation of Women Bill, 1958",Rajya Sabha,1958-02-21,HOME AFFAIRS,Savitry Devi Nigam Smt.,Ordinary Bill,,,,,Lapsed,
7,2320,XXXIX,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2021.",Rajya Sabha,2021-12-03,SOCIAL JUSTICE AND EMPOWERMENT,Narendra Jadhav Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/SC ST atrocity-E.pdf?source=legislation
8,2320,LVI,"The Foreign Investment in Financial Services, Critical Infrastructure and Technology Affecting National Security (Regulation) Bill, 2018",Rajya Sabha,2019-06-21,FINANCE,Narendra Jadhav Dr.,Ordinary Bill,,,,,Withdrawn,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/foreign inv-E-21619.pdf?source=legislation
9,776,VI,"The High Court of Kerala (Establishment of a Permanent  bench at Trivandrem ) Bill , 1985",Rajya Sabha,1985-03-29,,K. Vasudeva Panicker Shri,Ordinary Bill,,,,,Lapsed,
10,776,VII,The Constitution (Amendment) Bill 1985( to amend article 130),Rajya Sabha,1985-03-29,,K. Vasudeva Panicker Shri,Ordinary Bill,,,,,Withdrawn,
11,776,VIII,"The Constitution (Amendment) Bill, 1985 (to amend 7th schedules)",Rajya Sabha,1985-03-29,,K. Vasudeva Panicker Shri,Ordinary Bill,,,,,Withdrawn,
12,2321,162,"The Constn. (Amdt.) Bill, 1992 (Insertion of new article 75A and 164A)",Lok Sabha,1993-03-12,LAW AND JUSTICE,Chitta Basu Shri,Constitutional Amendment Bill,,,,,Lapsed,
13,2326,XI,"The Ancient Monuments and Archaeological Sites and Remains (Amendment) Bill, 2018",Rajya Sabha,2018-07-20,CULTURE,Sambhaji Chhatrapati Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/Ancient-E-20718.pdf?source=legislation
14,2328,XIII,"The Constitution (Amendment) Bill, 2023 (amendment of articles 124 and 217)",Rajya Sabha,2023-12-08,LAW AND JUSTICE,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Removed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/const124 VReddy-E1219202363552PM.pdf?source=legislation
15,2328,XL,"The Central Universities (Amendment) Bill, 2023",Rajya Sabha,2023-12-08,EDUCATION,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Removed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/Central University-E1219202342515PM.pdf?source=legislation
16,2328,XV,"The Consumer Protection (Amendment) Bill, 2023",Rajya Sabha,2023-12-08,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Removed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/consumer protection_VReddy-E1219202364959PM.pdf?source=legislation
17,2328,LXXXV,"The Constitution (Amendment) Bill, 2022 (amendment of article 270, 271, 280 and insertion of article 342B).",Rajya Sabha,2022-12-09,FINANCE,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Removed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/23 E 258 Session1213202280523PM.pdf?source=legislation
18,2328,XLV,"The Representation of the People (Amendment) Bill, 2022",Rajya Sabha,2022-08-05,LAW AND JUSTICE,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Removed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/6-E_257.pdf?source=legislation
19,2328,XLVII,"The Press Council (Amendment) Bill, 2022",Rajya Sabha,2022-08-05,INFORMATION AND BROADCASTING,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Removed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/7-E_257.pdf?source=legislation
20,2328,XXXVII,"The Constitution (Amendment) Bill, 2022 (insertion of new article 3A)",Rajya Sabha,2022-08-05,HOME AFFAIRS,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Removed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/5-E_257.pdf?source=legislation
21,2328,XVI,"The Constitution (Amendment) Bill, 2022 (amendment of articles 124, 217 and 222 etc.)",Rajya Sabha,2022-04-01,LAW AND JUSTICE,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/10-E_256.pdf?source=legislation
22,2328,IX,"The Constitution  (Amendment) Bill,  2020 (insertion of  new article 21B).",Rajya Sabha,2021-12-03,LABOUR  AND  EMPLOYMENT,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/insrt 21B-E.pdf?source=legislation
23,2328,VIII,"The Indian Penal  Code (Amendment)  Bill, 2021.",Rajya Sabha,2021-12-03,HOME AFFAIRS,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/IPC 295-E.pdf?source=legislation
24,2328,XVI,"The Right of Children to Free and Compulsory Education (Amendment) Bill, 2020.",Rajya Sabha,2021-12-03,EDUCATION,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/Right to child-E.pdf?source=legislation
25,2328,LX,"The Advocates (Amendment) Bill, 2019",Rajya Sabha,2019-12-06,LAW AND JUSTICE,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/advocte-E-6 12 19.pdf?source=legislation
26,2328,XLV,"The Indian Penal Code (Amendment) Bill, 2019 (insertion of new sections 379A and 379B)",Rajya Sabha,2019-12-06,HOME AFFAIRS,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/IPC-E-6 12 19.pdf?source=legislation
27,2328,XLVIII,"The Constitution (Amendment) Bill, 2019. (insertion of new article 338C)",Rajya Sabha,2019-12-06,AGRICULTURE,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/338C-E-6 12 19.pdf?source=legislation
28,2328,LVIII,"The Unfair (Procedural and Substantive) Terms in Contract Bill, 2018.",Rajya Sabha,2019-06-21,LAW AND JUSTICE,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/unfair-E-21619.pdf?source=legislation
29,2328,XXXV,"The Code of Criminal Procedure (Amendment) Bill, 2018",Rajya Sabha,2019-06-21,HOME AFFAIRS,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/code vijay-E-21619.pdf?source=legislation
30,2328,XXXVII,"The Registration of Births and Deaths (Amendment) Bill, 2018.",Rajya Sabha,2019-06-21,LAW AND JUSTICE,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/registration-E-21619.pdf?source=legislation
31,2328,XXIV,"The Constitution (Amendment) Bill, 2018 (amendment of article 19)",Rajya Sabha,2018-08-03,HOME AFFAIRS,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/19 -E-3818.pdf?source=legislation
32,2328,XXVI,"The Criminal Law (Amendment) Bill, 2018",Rajya Sabha,2018-08-03,HOME AFFAIRS,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/criminal-E-3818.pdf?source=legislation
33,2328,XXI,"The National Tribal Education Board Bill, 2018",Rajya Sabha,2018-07-20,HUMAN RESOURCE  DEVELOPMENT,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/tribal edu-E-20718.pdf?source=legislation
34,2328,II,"The Constitution (Amendment) Bill, 2018 (insertion of new articles 330A, 332A, etc.)",Rajya Sabha,2018-02-02,LAW AND JUSTICE,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Negatived,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/330-E-2 2 18.pdf?source=legislation
35,2328,IV,"The Constitution (Amendment) Bill, 2018 (amendment of articles 15 and 16)",Rajya Sabha,2018-02-02,SOCIAL JUSTICE AND EMPOWERMENT,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/15-E-2 2 18.pdf?source=legislation
36,2328,XXIX,"The Prevention of Torture Bill, 2017",Rajya Sabha,2017-12-15,HOME AFFAIRS,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/torture-E-151217.pdf?source=legislation
37,2328,XXX,"The Constitution (Amendment) Bill, 2017 (insertion of new article 21B)",Rajya Sabha,2017-12-15,HOUSING AND URBAN POVERTY ALLEVIATION,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/21B-E-151217.pdf?source=legislation
38,2328,XXXI,"The Prevention of Enforced Disappearance Bill, 2017",Rajya Sabha,2017-12-15,HOME AFFAIRS,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/enforced-E-151217.pdf?source=legislation
39,2328,XVIII,"The Prevention of Crimes in the Name of Honour and Tradition and Prohibition of Interference with the Freedom of Matrimonial Alliances Bill, 2017",Rajya Sabha,2017-07-21,LAW AND JUSTICE,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/crime-21717-E.pdf?source=legislation
40,2328,XX,"The Privately Financed Infrastructure Projects (Regulation of Swiss Challenge Method of Procurement) Bill, 2017.",Rajya Sabha,2017-07-21,FINANCE,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/pvt financed-21717=E.pdf?source=legislation
41,2328,X,"The Constitution (Amendment) Bill, 2017 (insertion of new articles 330A, 330B, 332A and 332B)",Rajya Sabha,2017-04-07,LAW AND JUSTICE,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/239AA-7417-E.pdf?source=legislation
42,2328,LVII,"The Constitution (Amendment) Bill, 2016 (amendment of articles 102 and 191)",Rajya Sabha,2016-12-02,FINANCE,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/102-21216-E.pdf?source=legislation
43,2328,XLII,"The Constitution (Amendment) Bill, 2016 (substitution of new article for article 361B and amendment of Tenth Schedule)",Rajya Sabha,2016-08-05,LAW AND JUSTICE,V. Vijayasai Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/361B-5816-E.pdf?source=legislation
44,786,85,"The Muslim Wakfs Bill, 1952",Lok Sabha,1952-07-16,LAW AND JUSTICE,Syed Mohammad Ahmad Kazmi Shri,Ordinary Bill,1954-03-12,1954-04-23,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/BILL-85-1952-As intro23202574326PM.pdf?source=legislation
45,1173,X,"The Standard Weight and Measures Bill, 1953",Rajya Sabha,1953-09-04,COMMERCE AND INDUSTRY,Kishen Chand Shri,Ordinary Bill,,,,,Lapsed,
46,1173,XI,"The Indian Coinage (Amendment) Bill, 1953",Rajya Sabha,1953-09-04,,Kishen Chand Shri,Ordinary Bill,,,,,Negatived,
47,1173,XV,"The Standards of Higher Education Co-ordinating Bill, 1953",Rajya Sabha,1953-09-04,,Kishen Chand Shri,Ordinary Bill,,,,,Lapsed,
48,1937,XXXIII,"The Handloom Weavers (Protection and Welfare) Bill, 2009",Rajya Sabha,2010-05-03,TEXTILES,Gireesh Kumar Sanghi Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/Hand XXXIII of 09.pdf?source=legislation
49,1937,XXXIV,"The Constitution (Amendment) Bill, 2009 (insertion of new article 16A and amendment of article 39)",Rajya Sabha,2010-05-03,LABOUR  AND  EMPLOYMENT,Gireesh Kumar Sanghi Shri,Constitutional Amendment Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/Cons XXXIV of 09.pdf?source=legislation
50,1937,XXXV,"The Booming Population Control Bill, 2009",Rajya Sabha,2010-05-03,HEALTH AND FAMILY WELFARE,Gireesh Kumar Sanghi Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/Boom XXXV of 09.pdf?source=legislation
51,1937,LVI,"The Victims of Terrorism (Compensation and Miscellaneous Provisions) Bill, 2008",Rajya Sabha,2008-12-19,HOME AFFAIRS,Gireesh Kumar Sanghi Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/vic of terro LVI of 08.pdf?source=legislation
52,1937,LXIII,"The Girl Child (Prevention of Trafficking and Miscellaneous Provisions) Bill, 2008",Rajya Sabha,2008-12-19,WOMEN AND CHILD DEVELOPMENT,Gireesh Kumar Sanghi Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/grl child LXIII of 08.pdf?source=legislation
53,1937,LXVII,"The Renewable Energy (Promotion and Miscellaneous Provisions) Bill, 2008",Rajya Sabha,2008-12-19,NON-CONVENTIONAL ENERGY SOURCES,Gireesh Kumar Sanghi Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/renble energy LXVII of 08.pdf?source=legislation
54,1937,VIII,"The Traders, Businessmen, Professionals and Self-Employed Persons (Welfare and Social Security) Bill, 2007",Rajya Sabha,2007-03-16,SOCIAL JUSTICE AND EMPOWERMENT,Gireesh Kumar Sanghi Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/1213rs.pdf?source=legislation
55,2333,XXXVI,"The Entrepreneurship Leave Bill, 2024",Rajya Sabha,2025-02-07,"PERSONNEL,  PUBLIC  GRIEVANCES  AND  PENSIONS",Vivek K. Tankha Shri,Ordinary Bill,,,,,Pending,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/6e214202543941PM.pdf?source=legislation
56,2333,CIV,"The Kashmiri Pandits (Recourse, Restitution, Rehabilitation and Resettlement) Bill, 2022",Rajya Sabha,2024-02-02,HOME AFFAIRS,Vivek K. Tankha Shri,Financial Bill,,,,,Pending,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/04_Kashmiri Pandits_v tankha-E29202470447PM.pdf?source=legislation
57,2333,XVIII,"The Kashmiri Pandits (Recourse, Restitution, Rehabilitation and Resettlement) Bill, 2022",Rajya Sabha,2022-04-01,HOME AFFAIRS,Vivek K. Tankha Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/11-E_256.pdf?source=legislation
58,367,II,"The Constitution (Amendment) Bill, 1966 (to amend articles 102 and 191)",Rajya Sabha,1966-01-04,,Jairamdas Daulatram Shri,Ordinary Bill,,,,,Lapsed,
59,371,1,"The Government of Union Territory of Andaman and Nicobar Islands Bill, 2012.",Lok Sabha,2012-08-09,HOME AFFAIRS,Bishnu Pada Ray Shri,Financial Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/3944LS.pdf?source=legislation
60,371,III,"The constitution (amendment)Bill, 1973 (to amend article1)",Rajya Sabha,1973-03-02,HOME AFFAIRS,Sitaram Jaipuria Shri,Ordinary Bill,,,,,Lapsed,
61,371,IV,"The Constitution (Amendment) Bill, 1969 [to amend article 174]",Rajya Sabha,1969-03-14,PARLIAMENTARY  AFFAIRS,Sitaram Jaipuria Shri,Ordinary Bill,,,,,Withdrawn,
62,371,XVI,The Hindu Marriage (Amendment) Bills 1962,Rajya Sabha,1962-11-16,,Sitaram Jaipuria Shri,Ordinary Bill,,,,,Negatived,
63,1569,XLV,"The Constitution ( Amendment) Bill,1995 ( Insertion of new Article 178 A)",Rajya Sabha,1995-08-17,HOME AFFAIRS,Balkrishna Sharma Shri,Ordinary Bill,,,,,Lapsed,
64,1569,XXVII,"The Constitution ( Amendment) Bill,1995 ( to amend article 51-A)",Rajya Sabha,1995-08-17,HOME AFFAIRS,Balkrishna Sharma Shri,Ordinary Bill,,,,,Lapsed,
65,2339,V,"The Representation of the People (Amendment) Bill, 2019",Rajya Sabha,2019-06-21,LAW AND JUSTICE,K.C. Ramamurthy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/RP-E-21619.pdf?source=legislation
66,380,214,"The Declaring of Habitual Offenders Laws as void Bill, 2018",Lok Sabha,2018-12-28,HOME AFFAIRS,A.P. Jithender Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/2227as.pdf?source=legislation
67,380,220,"The Ban on the use of Microbeads in Cosmetic Products Bill, 2018",Lok Sabha,2018-12-28,ENVIRONMENT AND FORESTS,A.P. Jithender Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/2316as.pdf?source=legislation
68,380,222,"The Protection of Human Rights Defenders Bill, 2018",Lok Sabha,2018-12-28,HOME AFFAIRS,A.P. Jithender Reddy Shri,Financial Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/2467as.pdf?source=legislation
69,380,25,"The Indian Forest (Amendment) Bill, 2017 (Amendment of section 26, etc.)",Lok Sabha,2017-03-24,ENVIRONMENT AND FORESTS,A.P. Jithender Reddy Shri,Financial Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/4486.pdf?source=legislation
70,380,28,"The All India Services (Amendment) Bill, 2017 (Insertion of new Section 3A)",Lok Sabha,2017-03-24,"PERSONNEL,  PUBLIC  GRIEVANCES  AND  PENSIONS",A.P. Jithender Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/4487.pdf?source=legislation
71,380,338,"The Clinical Establishments (Registration and Regulation) Amendment Bill, 2015 (Amendment of section 2,etc.)",Lok Sabha,2015-12-18,HEALTH AND FAMILY WELFARE,A.P. Jithender Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/3022LS.pdf?source=legislation
72,380,348,"The Constitution (Amendment) Bill, 2015  (Insertion of new articles 77A, etc.)",Lok Sabha,2015-12-18,LAW AND JUSTICE,A.P. Jithender Reddy Shri,Ordinary Bill,,,,,Pending,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/2820LS.pdf?source=legislation
73,380,49,"The Code of Criminal Procedure (Amendment) Bill, 2000 (Amendment of section 320, etc.)",Lok Sabha,2000-04-20,HOME AFFAIRS,A.P. Jithender Reddy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/4302LS.pdf?source=legislation
74,2341,XXI,"he High Court of Orissa (Establishment of a Permanent Bench in Western Odisha) Bill, 2020.",Rajya Sabha,2021-12-03,LAW AND JUSTICE,Prasanna Acharya Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/HC of orrissa-E.pdf?source=legislation
75,799,VIII,"The Antiquities (Export Control) Amendment Bill, 1957",Rajya Sabha,1957-11-29,,Raghubir Sinh Dr.,Ordinary Bill,,,,,Lapsed,
76,799,III,"The Ancient and Historical Monuments and Archaelogical Sites and Remains (Declaration of National Importance) Amendment Bill, 1957",Rajya Sabha,1957-08-30,,Raghubir Sinh Dr.,Ordinary Bill,,,,,Lapsed,
77,799,XX,"The Historical Records (National Importance) Bill, 1956",Rajya Sabha,1956-05-31,,Raghubir Sinh Dr.,Ordinary Bill,,,,,Lapsed,
78,2344,XXV,"The Constitution (Amendment) Bill, 2020 (amendment of  Seventh Schedule).",Rajya Sabha,2021-12-03,HEALTH AND FAMILY WELFARE,Vikas Mahatme Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/consti amend 7th sch-E.pdf?source=legislation
79,2344,XXX,"The Constitution (Amendment) Bill, 2019 (amendment of Tenth Schedule)",Rajya Sabha,2019-11-22,LAW AND JUSTICE,Vikas Mahatme Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/Tenth-E-22 11 19.pdf?source=legislation
80,2344,XIX,"The Promotion of Social and Emotional Learning in Schools Bill, 2019",Rajya Sabha,2019-07-12,HUMAN RESOURCE  DEVELOPMENT,Vikas Mahatme Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/promotion-E-12719.pdf?source=legislation
81,2344,LV,"The Compulsory Food Waste Reduction Bill, 2018",Rajya Sabha,2019-06-21,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Vikas Mahatme Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/comlsry food-E-21619.pdf?source=legislation
82,2344,XLI,"The Other Backward Classes (Sub-Categorization) Bill, 2018",Rajya Sabha,2019-06-21,SOCIAL JUSTICE AND EMPOWERMENT,Vikas Mahatme Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/OBC-E-21619.pdf?source=legislation
83,2344,XX,"The Special Courts for Scheduled Castes and Scheduled Tribes Bill, 2016",Rajya Sabha,2016-04-29,SOCIAL JUSTICE AND EMPOWERMENT,Vikas Mahatme Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/splcor-29 4 16-E.pdf?source=legislation
84,385,44,"The Mental Healthcare (Amendment) Bill, 2024 (Amendment of section, etc.).",Lok Sabha,2025-12-05,HEALTH AND FAMILY WELFARE,Rajiv Pratap Rudy Shri,Financial Bill,,,,,Pending,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/44 of 2024 as intro125202583504PM.pdf?source=legislation
85,385,25,"The District Development and Monitoring Committee for Implementation of Central Sector and Centrally Sponsored Schemes Bill, 2024",Lok Sabha,2024-07-26,RURAL DEVELOPMENT,Rajiv Pratap Rudy Shri,Financial Bill,,,,,Pending,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/25 of 2024 As Introduced726202445003PM.pdf?source=legislation
86,385,40,"The Greenfield Infrastructure Development Boards Bill, 2024",Lok Sabha,2024-07-26,ROAD TRANSPORT AND HIGHWAYS,Rajiv Pratap Rudy Shri,Financial Bill,,,,,Pending,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/40 of 2024 AS726202444843PM.pdf?source=legislation
87,385,60,"The Constitution (Amendment) Bill, 2024 (Substitution of new article for article 48A, etc.)",Lok Sabha,2024-07-26,ENVIRONMENT AND FORESTS,Rajiv Pratap Rudy Shri,Ordinary Bill,,,,,Pending,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/60 of 2024 AS726202445621PM.pdf?source=legislation
88,385,104,"The Greenfield Infrastructure Development Boards Bill, 2022",Lok Sabha,2022-08-05,ROAD TRANSPORT AND HIGHWAYS,Rajiv Pratap Rudy Shri,Financial Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/104 of 2022 EV (As Copy).pdf?source=legislation
89,385,105,"The District Development and Monitoring Committee for Implementation of Central Sector and Centrally Sponsored Schemes Bill, 2022",Lok Sabha,2022-08-05,RURAL DEVELOPMENT,Rajiv Pratap Rudy Shri,Financial Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/105 of 2022 As Introduced.pdf?source=legislation
90,385,324,"The Wild Life (Protection) Amendment Bill, 2019 (Insertion of new sections 28A, 28B, 28C, 28D and 28E)",Lok Sabha,2021-12-03,ENVIRONMENT AND FORESTS,Rajiv Pratap Rudy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/324 of 2019As Int....pdf?source=legislation
91,385,339,"The Constitution (Amendment)  Bill, 2019 (Amendment of the  Seventh and Twelfth Schedule)",Lok Sabha,2021-12-03,ENVIRONMENT AND FORESTS,Rajiv Pratap Rudy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/339 of 2019 As Int....pdf?source=legislation
92,385,340,"The Mental Healthcare (Amendment) Bill, 2019 (Amendment of section 2, etc. )",Lok Sabha,2021-12-03,HEALTH AND FAMILY WELFARE,Rajiv Pratap Rudy Shri,Financial Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/340 of 2019As Int....pdf?source=legislation
93,385,120,"The Constitution (Amendment) Bill, 2019 (Amendment of article 83, etc.)",Lok Sabha,2019-07-12,LAW AND JUSTICE,Rajiv Pratap Rudy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/685LS As Int....pdf?source=legislation
