id,srno,committeeName,status,house,Date
75,2442,Communications and Information Technology,Member,Lok Sabha,2025-09-26
76,2441,Joint Committee on Salaries and Allowances of Members of Parliament,Member,Lok Sabha,2025-03-24
77,2441,Railways,Member,Lok Sabha,2025-09-26
78,175,Energy,Member,Lok Sabha,2025-09-26
79,175,External Affairs,Member,Lok Sabha,2025-09-26
80,2445,Empowerment of Women,Member,Lok Sabha,2025-04-21
81,2445,Energy,Member,Lok Sabha,2025-09-26
82,177,Committee in the Rajya Sabha to study the alarming issue of pornography on social media and its effect on children and society as a whole,Member,Rajya Sabha,2019-12-12
83,177,Ethics,Member,Rajya Sabha,2024-10-10
84,177,Subordinate Legislation,Member,Rajya Sabha,2024-10-22
85,177,Industry,Chairman,Rajya Sabha,2025-09-26
86,177,General Purposes Committee,Member,Rajya Sabha,2025-11-13
87,177,"Joint Committee on the Biological Diversity (Amendment) Bill, 2021",Member,Lok Sabha,2021-12-20
88,177,Public Accounts,Member,Lok Sabha,2025-05-01
89,2446,Privileges,Member,Rajya Sabha,2025-10-31
90,2446,Defence,Member,Lok Sabha,2025-09-26
91,2447,Subordinate Legislation,Member,Rajya Sabha,2025-11-10
92,2447,Communications and Information Technology,Member,Lok Sabha,2025-09-26
93,2447,"Joint Committee on the Jan Vishwas (Amendment of Provisions) Bill, 2022",Member,Lok Sabha,2022-12-22
94,2447,"Joint Committee on the Multi-State Co-operative Societies (Amendment) Bill, 2022",Member,Lok Sabha,2022-12-29
95,2449,Information and Communication Technology Management in Rajya Sabha,Member,Rajya Sabha,2024-10-23
96,2449,"Personnel, Public Grievances, Law and Justice",Member,Rajya Sabha,2025-09-26
97,2449,Joint Committee on Offices of Profit,Member,Lok Sabha,2024-10-08
98,2449,"Joint Committee on the Multi-State Co-operative Societies (Amendment) Bill, 2022",Member,Lok Sabha,2022-12-29
99,2451,Government Assurances,Chairman,Rajya Sabha,2024-10-22
100,2451,General Purposes Committee,Member,Rajya Sabha,2025-11-13
101,2451,Finance,Member,Lok Sabha,2025-09-26
102,2450,"Labour, Textiles and Skill Development",Member,Lok Sabha,2025-09-26
103,2454,"Education, Women, Children, Youth and Sports",Member,Rajya Sabha,2025-09-26
104,2456,"Coal, Mines and Steel",Member,Lok Sabha,2025-09-26
105,2457,Energy,Member,Lok Sabha,2025-09-26
106,2458,External Affairs,Member,Lok Sabha,2025-09-26
107,2460,"Joint Committee on the Forest (Conservation) Amendment Bill, 2023",Member,Lok Sabha,2023-03-29
108,2460,Social Justice & Empowerment,Member,Lok Sabha,2025-09-26
109,2460,Welfare of Scheduled Castes and Scheduled Tribes,Member,Lok Sabha,2025-05-01
110,2462,Petitions,Member,Rajya Sabha,2024-10-22
111,2462,Housing and Urban Affairs,Member,Lok Sabha,2025-09-26
112,2462,"Joint Committee on the Multi-State Co-operative Societies (Amendment) Bill, 2022",Member,Lok Sabha,2022-12-29
113,2010,Committee in the Rajya Sabha to study the alarming issue of pornography on social media and its effect on children and society as a whole,Member,Rajya Sabha,2019-12-12
114,2463,House Committee,Chairman,Rajya Sabha,2024-04-02
115,2463,"Science and Technology, Environment, Forests and Climate Change",Member,Rajya Sabha,2025-09-26
116,2463,General Purposes Committee,Member,Rajya Sabha,2025-11-13
117,2464,"Science and Technology, Environment, Forests and Climate Change",Member,Rajya Sabha,2025-09-26
118,2466,House Committee,Member,Rajya Sabha,2024-10-22
119,2466,General Purposes Committee,Member,Rajya Sabha,2025-11-13
120,2466,Business Advisory Committee,Member,Rajya Sabha,2025-11-20
121,2466,Chemicals & Fertilizers,Member,Lok Sabha,2025-09-26
122,2465,MPLADS,Member,Rajya Sabha,2024-10-23
123,2465,External Affairs,Member,Lok Sabha,2025-09-26
124,2469,Railways,Member,Lok Sabha,2025-09-26
125,2470,Defence,Member,Lok Sabha,2025-09-26
126,2470,Public Accounts,Member,Lok Sabha,2025-05-01
127,2471,Petitions,Member,Rajya Sabha,2024-10-22
128,2471,Government Assurances,Member,Rajya Sabha,2025-11-10
129,2471,"Agriculture, Animal Husbandry and Food Processing",Member,Lok Sabha,2025-09-26
130,2471,"Joint Committee on the Biological Diversity (Amendment) Bill, 2021",Member,Lok Sabha,2021-12-20
131,2472,Privileges,Member,Rajya Sabha,2025-10-31
132,2472,"Coal, Mines and Steel",Member,Lok Sabha,2025-09-26
133,2472,Joint Committee on Offices of Profit,Member,Lok Sabha,2024-10-08
134,2474,Privileges,Member,Rajya Sabha,2025-10-31
135,2474,Railways,Member,Lok Sabha,2025-09-26
136,2475,Papers Laid on the table,Member,Rajya Sabha,2025-11-10
137,2475,"Labour, Textiles and Skill Development",Member,Lok Sabha,2025-09-26
138,2476,Papers Laid on the table,Member,Rajya Sabha,2024-10-22
139,2476,Industry,Member,Rajya Sabha,2025-09-26
140,207,"Personnel, Public Grievances, Law and Justice",Member,Rajya Sabha,2025-09-26
141,208,Rules,Member,Rajya Sabha,2024-12-31
142,208,Finance,Member,Lok Sabha,2025-09-26
143,208,Public Accounts,Member,Lok Sabha,2025-05-01
144,2477,Government Assurances,Member,Rajya Sabha,2024-10-22
145,2477,Industry,Member,Rajya Sabha,2025-09-26
146,2477,Joint Committee on Salaries and Allowances of Members of Parliament,Member,Lok Sabha,2025-03-24
147,2477,Public Undertakings,Member,Lok Sabha,2025-05-01
148,2478,Petitions,Member,Rajya Sabha,2024-10-22
