id,srno,committeeName,status,house,Date
359,2589,Water Resources,Member,Lok Sabha,2025-09-26
360,2590,"Education, Women, Children, Youth and Sports",Member,Rajya Sabha,2025-09-26
361,2590,Committee on Welfare of Other Backward Classes,Member,Lok Sabha,2025-09-09
362,2591,"Transport, Tourism and Culture",Chairman,Rajya Sabha,2025-09-26
363,2591,General Purposes Committee,Member,Rajya Sabha,2025-11-13
364,2591,"Joint Committee on the Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment) Bill, 2024",Member,Lok Sabha,2024-12-23
365,2591,Water Resources,Member,Lok Sabha,2025-10-06
366,2592,MPLADS,Member,Rajya Sabha,2024-10-23
367,2592,Home Affairs,Member,Rajya Sabha,2025-09-26
368,2593,"Coal, Mines and Steel",Member,Lok Sabha,2025-09-26
369,2593,Welfare of Scheduled Castes and Scheduled Tribes,Member,Lok Sabha,2025-05-01
370,2595,Industry,Member,Rajya Sabha,2025-09-26
371,2594,"Labour, Textiles and Skill Development",Member,Lok Sabha,2025-09-26
372,2596,Committee on Welfare of Other Backward Classes,Member,Lok Sabha,2025-09-09
373,2596,Petroleum & Natural Gas,Member,Lok Sabha,2025-09-26
374,2597,Chemicals & Fertilizers,Member,Lok Sabha,2025-09-26
375,2598,Energy,Member,Lok Sabha,2025-09-26
376,2599,Home Affairs,Member,Rajya Sabha,2025-09-26
377,2600,"Science and Technology, Environment, Forests and Climate Change",Member,Rajya Sabha,2025-09-26
378,2601,Health and Family Welfare,Member,Rajya Sabha,2025-09-26
379,2601,Committee on Welfare of Other Backward Classes,Member,Lok Sabha,2025-09-09
380,2602,Water Resources,Member,Lok Sabha,2025-09-26
381,2602,Welfare of Scheduled Castes and Scheduled Tribes,Member,Lok Sabha,2025-05-01
382,2603,"Agriculture, Animal Husbandry and Food Processing",Member,Lok Sabha,2025-09-26
383,2604,Empowerment of Women,Member,Lok Sabha,2025-04-21
384,2604,Housing and Urban Affairs,Member,Lok Sabha,2025-09-26
385,2605,Ethics,Member,Rajya Sabha,2024-10-10
386,2605,Housing and Urban Affairs,Member,Lok Sabha,2025-09-26
387,2605,"Joint Committee on the Waqf (Amendment) Bill, 2024",Member,Lok Sabha,2024-08-13
388,10,House Committee,Member,Rajya Sabha,2024-04-02
389,10,Ethics,Member,Rajya Sabha,2024-10-10
390,10,General Purposes Committee,Member,Rajya Sabha,2025-11-13
391,10,Defence,Member,Lok Sabha,2025-09-26
392,2607,Public Accounts,Member,Lok Sabha,2025-05-01
393,2607,Water Resources,Member,Lok Sabha,2025-09-26
394,2606,Health and Family Welfare,Member,Rajya Sabha,2025-09-26
395,2606,General Purposes Committee,Member,Rajya Sabha,2025-11-13
396,2608,Subordinate Legislation,Chairman,Rajya Sabha,2024-10-22
397,2608,Rules,Member,Rajya Sabha,2024-12-31
398,2608,General Purposes Committee,Member,Rajya Sabha,2025-11-13
399,2608,"Coal, Mines and Steel",Member,Lok Sabha,2025-10-16
400,2608,Public Undertakings,Member,Lok Sabha,2025-05-01
401,2609,Petroleum & Natural Gas,Member,Lok Sabha,2025-09-26
402,2168,MPLADS,Member,Rajya Sabha,2024-10-23
403,2168,Railways,Member,Lok Sabha,2025-09-26
404,2610,Papers Laid on the table,Member,Rajya Sabha,2024-10-22
405,2610,Information and Communication Technology Management in Rajya Sabha,Member,Rajya Sabha,2024-10-23
406,2610,"Coal, Mines and Steel",Member,Lok Sabha,2025-09-26
407,2611,Communications and Information Technology,Member,Lok Sabha,2025-09-26
408,2612,Chemicals & Fertilizers,Member,Lok Sabha,2025-09-26
409,2614,External Affairs,Member,Lok Sabha,2025-09-26
410,2614,Joint Committee on Salaries and Allowances of Members of Parliament,Member,Lok Sabha,2025-03-24
411,2613,"Personnel, Public Grievances, Law and Justice",Member,Rajya Sabha,2025-09-26
412,2615,"Agriculture, Animal Husbandry and Food Processing",Member,Lok Sabha,2025-09-26
413,2616,Empowerment of Women,Member,Lok Sabha,2025-04-21
414,2616,Railways,Member,Lok Sabha,2025-09-26
415,2618,Industry,Member,Rajya Sabha,2025-09-26
416,2617,Commerce,Member,Rajya Sabha,2025-09-26
417,2617,Empowerment of Women,Member,Lok Sabha,2025-04-21
418,2619,Social Justice & Empowerment,Member,Lok Sabha,2025-09-26
419,2619,Welfare of Scheduled Castes and Scheduled Tribes,Member,Lok Sabha,2025-05-01
420,2620,Home Affairs,Member,Rajya Sabha,2025-09-26
421,2621,Empowerment of Women,Member,Lok Sabha,2025-04-21
422,2621,External Affairs,Member,Lok Sabha,2025-09-26
423,2622,Housing and Urban Affairs,Member,Lok Sabha,2025-09-26
424,2622,Public Undertakings,Member,Lok Sabha,2025-05-01
425,2623,Petitions,Member,Rajya Sabha,2024-10-22
426,2623,Committee on Welfare of Other Backward Classes,Member,Lok Sabha,2025-09-09
427,2623,Railways,Member,Lok Sabha,2025-09-26
428,2624,Petroleum & Natural Gas,Member,Lok Sabha,2025-09-26
429,2181,Ethics,Member,Rajya Sabha,2024-10-10
430,2181,Business Advisory Committee,Member,Rajya Sabha,2024-11-25
431,2181,Home Affairs,Member,Rajya Sabha,2025-09-26
432,2181,General Purposes Committee,Member,Rajya Sabha,2025-11-13
433,2181,"Joint Committee on the Personal Data Protection Bill, 2019",Member,Lok Sabha,2019-12-11
434,2184,Rules,Member,Rajya Sabha,2024-12-31
435,2184,"Personnel, Public Grievances, Law and Justice",Member,Rajya Sabha,2025-09-26
436,2184,"Joint Committee on the Jan Vishwas (Amendment of Provisions) Bill, 2022",Member,Lok Sabha,2022-12-22
437,2184,"Joint Committee on the Multi-State Co-operative Societies (Amendment) Bill, 2022",Member,Lok Sabha,2022-12-29
438,2184,Public Accounts,Member,Lok Sabha,2025-05-01
439,2625,"Agriculture, Animal Husbandry and Food Processing",Member,Lok Sabha,2025-09-26
440,2627,"Coal, Mines and Steel",Member,Lok Sabha,2025-09-26
441,2187,"Joint Committee on the Forest (Conservation) Amendment Bill, 2023",Member,Lok Sabha,2023-03-29
442,2628,"Coal, Mines and Steel",Member,Lok Sabha,2025-09-26
443,2629,"Education, Women, Children, Youth and Sports",Member,Rajya Sabha,2025-09-26
444,2629,Empowerment of Women,Member,Lok Sabha,2025-04-21
445,2630,"Agriculture, Animal Husbandry and Food Processing",Member,Lok Sabha,2025-09-26
446,2631,Home Affairs,Member,Rajya Sabha,2025-09-26
447,385,"Transport, Tourism and Culture",Member,Rajya Sabha,2025-09-26
448,2633,Health and Family Welfare,Member,Rajya Sabha,2025-09-26
449,2633,Social Justice & Empowerment,Member,Lok Sabha,2025-09-26
450,2198,Government Assurances,Member,Rajya Sabha,2024-10-22
451,2198,"Transport, Tourism and Culture",Member,Rajya Sabha,2025-09-26
452,2198,"Joint Committee on the Waqf (Amendment) Bill, 2024",Member,Lok Sabha,2024-08-13
453,2634,"Personnel, Public Grievances, Law and Justice",Member,Rajya Sabha,2025-09-26
454,2634,Privileges,Member,Rajya Sabha,2025-10-31
455,2634,JCCA and UTB,Member,Lok Sabha,2025-11-12
456,2635,Information and Communication Technology Management in Rajya Sabha,Member,Rajya Sabha,2024-10-23
457,2635,Housing and Urban Affairs,Member,Lok Sabha,2025-09-26
458,2637,Defence,Member,Lok Sabha,2025-09-26
459,2638,"Agriculture, Animal Husbandry and Food Processing",Member,Lok Sabha,2025-09-26
460,2202,"Joint Committee on the Forest (Conservation) Amendment Bill, 2023",Member,Lok Sabha,2023-03-29
461,2640,Health and Family Welfare,Member,Rajya Sabha,2025-09-26
462,2641,Commerce,Member,Rajya Sabha,2025-09-26
463,2204,General Purposes Committee,Member,Rajya Sabha,2025-11-13
464,870,"Agriculture, Animal Husbandry and Food Processing",Member,Lok Sabha,2025-09-26
465,2642,"Education, Women, Children, Youth and Sports",Member,Rajya Sabha,2025-09-26
466,2642,Rules,Member,Rajya Sabha,2025-11-10
467,2643,"Science and Technology, Environment, Forests and Climate Change",Member,Rajya Sabha,2025-09-26
468,2644,Communications and Information Technology,Member,Lok Sabha,2025-09-26
469,2645,Defence,Member,Lok Sabha,2025-09-26
470,2645,JCCA and UTB,Member,Lok Sabha,2025-11-12
471,2210,Committee in the Rajya Sabha to study the alarming issue of pornography on social media and its effect on children and society as a whole,Member,Rajya Sabha,2019-12-12
472,2646,"Education, Women, Children, Youth and Sports",Member,Rajya Sabha,2025-09-26
473,2647,"Personnel, Public Grievances, Law and Justice",Member,Rajya Sabha,2025-09-26
474,2647,Ethics,Member,Rajya Sabha,2025-11-19
475,2648,Social Justice & Empowerment,Member,Lok Sabha,2025-09-26
476,2649,Defence,Member,Lok Sabha,2025-09-26
477,2650,Rural Development and Panchayati Raj,Member,Lok Sabha,2025-09-26
478,2651,"Agriculture, Animal Husbandry and Food Processing",Member,Lok Sabha,2025-09-26
479,2654,"Labour, Textiles and Skill Development",Member,Lok Sabha,2025-12-05
480,2653,Rural Development and Panchayati Raj,Member,Lok Sabha,2025-09-26
481,2655,"Consumer Affairs, Food and Public Distribution",Member,Lok Sabha,2025-12-05
482,2652,"Science and Technology, Environment, Forests and Climate Change",Member,Rajya Sabha,2025-09-26
483,2657,"Consumer Affairs, Food and Public Distribution",Member,Lok Sabha,2025-12-05
484,2656,"Coal, Mines and Steel",Member,Lok Sabha,2025-12-05
485,2658,"Labour, Textiles and Skill Development",Member,Lok Sabha,2025-12-05
486,2236,Commerce,Member,Rajya Sabha,2025-09-26
487,2236,Empowerment of Women,Member,Lok Sabha,2025-04-21
488,2236,"Joint Committee on the Multi-State Co-operative Societies (Amendment) Bill, 2022",Member,Lok Sabha,2022-12-29
489,2245,Ethics,Member,Rajya Sabha,2024-10-10
490,2245,MPLADS,Member,Rajya Sabha,2024-10-23
491,2245,Business Advisory Committee,Member,Rajya Sabha,2024-11-25
492,2245,Finance,Member,Lok Sabha,2025-09-26
493,2245,Library Committee,Member,Lok Sabha,2023-10-09
494,2247,Communications and Information Technology,Member,Lok Sabha,2025-09-26
495,2251,"Science and Technology, Environment, Forests and Climate Change",Member,Rajya Sabha,2025-09-26
496,2258,Committee in the Rajya Sabha to study the alarming issue of pornography on social media and its effect on children and society as a whole,Member,Rajya Sabha,2019-12-12
497,2263,"Labour, Textiles and Skill Development",Member,Lok Sabha,2025-09-26
498,2268,"Joint Committee on the Biological Diversity (Amendment) Bill, 2021",Member,Lok Sabha,2021-12-20
499,2269,MPLADS,Chairman,Rajya Sabha,2024-10-23
500,2269,Business Advisory Committee,Member,Rajya Sabha,2024-11-25
501,2269,Rules,Member,Rajya Sabha,2024-12-31
502,2269,Privileges,Chairman,Rajya Sabha,2025-10-31
503,2269,General Purposes Committee,Member,Rajya Sabha,2025-11-13
504,2270,Committee in the Rajya Sabha to study the alarming issue of pornography on social media and its effect on children and society as a whole,Member,Rajya Sabha,2019-12-12
505,2279,"Education, Women, Children, Youth and Sports",Chairman,Rajya Sabha,2025-09-26
506,2279,General Purposes Committee,Member,Rajya Sabha,2025-11-13
507,2290,"Joint Committee on the Personal Data Protection Bill, 2019",Member,Lok Sabha,2019-12-11
508,2292,Committee in the Rajya Sabha to study the alarming issue of pornography on social media and its effect on children and society as a whole,Member,Rajya Sabha,2019-12-12
509,503,Commerce,Member,Rajya Sabha,2025-09-26
510,2295,Energy,Member,Lok Sabha,2025-09-26
511,2297,Subordinate Legislation,Member,Rajya Sabha,2024-10-22
512,2297,Home Affairs,Member,Rajya Sabha,2025-09-26
513,2297,JCCA and UTB,Member,Lok Sabha,2025-11-12
514,2297,"Joint Committee on the Biological Diversity (Amendment) Bill, 2021",Member,Lok Sabha,2021-12-20
515,2302,"Joint Committee on the Personal Data Protection Bill, 2019",Member,Lok Sabha,2019-12-11
516,2307,Committee in the Rajya Sabha to study the alarming issue of pornography on social media and its effect on children and society as a whole,Member,Rajya Sabha,2019-12-12
517,2307,House Committee,Member,Rajya Sabha,2024-04-02
518,2307,Commerce,Chairman,Rajya Sabha,2025-09-26
519,2307,General Purposes Committee,Member,Rajya Sabha,2025-11-13
520,1866,Subordinate Legislation,Member,Rajya Sabha,2024-10-22
521,1866,Privileges,Member,Rajya Sabha,2025-10-31
522,1866,Chemicals & Fertilizers,Member,Lok Sabha,2025-09-26
523,2328,"Joint Committee on the Waqf (Amendment) Bill, 2024",Member,Lok Sabha,2024-08-13
524,2333,"Personnel, Public Grievances, Law and Justice",Member,Rajya Sabha,2025-09-26
525,2333,"Joint Committee on the Jan Vishwas (Amendment of Provisions) Bill, 2022",Member,Lok Sabha,2022-12-22
526,2333,"Joint Committee on the Personal Data Protection Bill, 2019",Member,Lok Sabha,2019-12-11
527,74,"Personnel, Public Grievances, Law and Justice",Member,Rajya Sabha,2025-09-26
528,2343,Finance,Member,Lok Sabha,2025-09-26
529,2345,Committee in the Rajya Sabha to study the alarming issue of pornography on social media and its effect on children and society as a whole,Member,Rajya Sabha,2019-12-12
530,2345,"Joint Committee on the Personal Data Protection Bill, 2019",Member,Lok Sabha,2021-08-05
531,564,"Science and Technology, Environment, Forests and Climate Change",Member,Rajya Sabha,2025-09-26
532,2351,Finance,Member,Lok Sabha,2025-09-26
