srno,member_name,party,state_ut,status,age,term
1,"Roy, Shri Jibon",Communist Party of India (Marxist),West Bengal,Former,85.0,"2 (1993–1999, 1999–2005)"
2,"Singh, Dr. Manmohan",Indian National Congress,Rajasthan,Former,93.0,"6 (1991–1995, 1995–2001, 2001–2007, 2007–2013, 2013–2019, 2019–2024)"
3,"Joshi, Shri Kailash",Bharatiya Janata Party,Madhya Pradesh,Former,96.0,1 (2000–2006)
4,"Salim, Shri Md.",Communist Party of India (Marxist),West Bengal,Former,68.0,"2 (1990–1996, 1996–2002)"
5,"Gavai, Shri R.S.",Republican Party of India,Maharashtra,Former,96.0,1 (2000–2006)
6,"Singh, Shri Gaya",Communist Party of India,Bihar,Former,81.0,"2 (1992–1998, 1998–2004)"
7,"Gowda, Shri H.K. Javare",Janata Dal,Karnataka,Former,75.0,1 (1998–2004)
8,"Goyal, Shri Vedprakash P.",Bharatiya Janata Party,Maharashtra,Former,99.0,"2 (1996–2002, 2002–2008)"
9,"Gupta, Shri Banarsi Das",Indian National Congress,Haryana,Former,108.0,1 (1996–2002)
10,"Gupta, Shri Prem Chand",Rashtriya Janata Dal,Bihar,Sitting,75.0,"5 (1996–2002, 2002–2008, 2008–2014, 2014–2020, 2020–2026)"
11,"Haji, Shri Korambayil Ahammed",Muslim League,Kerala,Former,94.0,1 (1998–2004)
12,"Hamdard, Shri Barjinder Singh",Independent & Others,Punjab,Former,81.0,1 (1998–2004)
13,"Margabandu, Shri R.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,91.0,1 (1995–2001)
14,"Masthan, Dr. D.",Independent & Others,Tamil Nadu,Former,68.0,1 (1995–2001)
15,"Mattathil, Shri M.J. Varkey",Kerala Congress,Kerala,Former,88.0,1 (1998–2004)
16,"Meena, Shri Moolchand",Indian National Congress,Rajasthan,Former,70.0,"2 (1992–1998, 2000–2006)"
17,"Mehta, Shri Lalitbhai",Bharatiya Janata Party,Gujarat,Former,88.0,1 (1999–2005)
18,"Gautam, Shri Sangh Priya",Bharatiya Janata Party,Uttarakhand,Former,94.0,"3 (1990–1996, 1998–2000, 2000–2004)"
19,"Roy Chowdhury, Shri Shankar",Independent & Others,West Bengal,Former,88.0,1 (1999–2005)
20,"Rumandla Ramchandraiah, Shri",Telugu Desam Party,Andhra Pradesh,Former,75.0,1 (1998–2004)
21,"Hasan, Shri Munavvar",Samajwadi Party,Uttar Pradesh,Former,61.0,1 (1998–2004)
22,"Hegde, Shri Ramakrishna",Janata Party,Karnataka,Former,99.0,"2 (1978–1984, 1996–2002)"
23,"Heptulla, Dr. Najma A.",Bharatiya Janata Party,Madhya Pradesh,Former,85.0,"6 (1980–1986, 1986–1992, 1992–1998, 1998–2004, 2004–2010, 2012–2018)"
24,"Hiphei, Shri",CONG(I),Mizoram,Former,88.0,"2 (1990–1996, 1996–2002)"
25,"Ibrahim, Shri C.M.",Janata Dal,Karnataka,Former,72.0,1 (1996–2002)
26,"Jamir, Shri C. Apok",Indian National Congress,Nagaland,Former,64.0,1 (1998–2004)
27,"Jaitley, Shri Arun",Bharatiya Janata Party,Uttar Pradesh,Former,73.0,"4 (2000–2006, 2006–2012, 2012–2018, 2018–2024)"
28,"Judev, Shri Dilip Singh",Bharatiya Janata Party,Chhattisgarh,Former,76.0,"3 (1992–1998, 1998–2004, 2004–2010)"
29,"Jethmalani, Shri Ram",Rashtriya Janata Dal,Bihar,Former,102.0,"6 (1988–1994, 1994–2000, 2000–2006, 2006–2009, 2010–2016, 2016–2022)"
30,"Kadar, Shri M.A.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,83.0,1 (1998–2004)
32,"Kalmadi, Shri Suresh",Indian National Congress,Maharashtra,Former,81.0,"4 (1982–1988, 1988–1994, 1994–2000, 1998–2004)"
33,"Kanshi Ram, Shri",Bahujan Samaj Party,Uttar Pradesh,Former,91.0,1 (1998–2004)
35,"Kaushal, Shri Swaraj",Haryana Vikas Party,Haryana,Former,73.0,1 (1998–2004)
36,"Kaushik, Shri Rama Shanker",Samajwadi Party,Uttar Pradesh,Former,94.0,1 (1998–2004)
37,"Keswani, Shri Suresh A.",Independent & Others,Maharashtra,Former,83.0,1 (1996–2002)
38,"Kharwar, Shri Ghanshyam Chandra",Bahujan Samaj Party,Uttar Pradesh,Former,64.0,1 (2000–2006)
39,"Khan (Durru), Shri Aimaduddin Ahmad",Indian National Congress,Rajasthan,Former,81.0,1 (1998–2004)
40,"Khan, Shri K.M.",Indian National Congress,Andhra Pradesh,Former,85.0,"2 (1994–2000, 2000–2006)"
42,"Khan, Shri Mohd. Azam",Samajwadi Party,Uttar Pradesh,Former,77.0,1 (1996–2002)
43,"Khuntia, Shri Rama Chandra",Indian National Congress,Odisha,Former,72.0,"2 (1998–2004, 2008–2014)"
44,"Kidwai, Dr. A.R.",Indian National Congress,National Capital Territory of Delhi,Former,105.0,1 (2000–2006)
45,"Kovind, Shri Ram Nath",Bharatiya Janata Party,Uttar Pradesh,Former,80.0,"2 (1994–2000, 2000–2006)"
46,"Kondaiah, Shri K.C.",Indian National Congress,Karnataka,Former,75.0,1 (2000–2002)
47,"Kujur, Shri Maurice",Indian National Congress,Odisha,Former,90.0,1 (1996–2002)
48,"Lachhman Singh, Shri",Indian National Congress,Haryana,Former,104.0,1 (1996–2002)
49,"Lakshmi Prasad, Dr. Y.",Telugu Desam Party,Andhra Pradesh,Former,72.0,1 (1996–2002)
50,"Lakshmisagar, Prof. A.",Janata Dal,Karnataka,Former,,1 (1998–2002)
51,"Lama, Shri Dawa",Communist Party of India (Marxist),West Bengal,Former,96.0,1 (1996–2002)
54,"Maharaj, Dr. Swami Sakshi Ji",Samajwadi Party,Uttar Pradesh,Former,70.0,1 (2000–2006)
55,"Mahanta, Dr.(Smt.) Joyasree Goswami",Asom Gana Parishad,Assam,Former,65.0,1 (1999–2001)
56,"Maheshwari, Shri P.K.",Indian National Congress,Madhya Pradesh,Former,83.0,1 (2000–2006)
57,"Maheshwari, Smt. Sarla",Communist Party of India (Marxist),West Bengal,Former,71.0,"2 (1990–1996, 1999–2005)"
58,"Mangeshkar, Ms. Lata",Nominated,Nominated,Former,96.0,1 (1999–2005)
59,"Saifullah, Shri K.M.",Telugu Desam Party,Andhra Pradesh,Former,81.0,1 (1996–2002)
60,"Salve, Shri N.K.P.",CONG(I),Maharashtra,Former,104.0,"4 (1978–1984, 1984–1990, 1990–1996, 1996–2002)"
61,"Samadani, Shri M.P. Abdussamad",Muslim League,Kerala,Former,67.0,"2 (1994–2000, 2000–2006)"
62,"Sankaralingam, Prof. M.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,98.0,1 (1998–2004)
63,"Sarma, Dr. Arun Kumar",Asom Gana Parishad,Assam,Former,69.0,1 (1998–2004)
64,"Sarma, Smt. Basanti",CONG(I),Assam,Former,81.0,"2 (1991–1996, 1996–2002)"
65,"Sengupta, Shri Bratin",Communist Party of India (Marxist),West Bengal,Former,62.0,1 (1996–2002)
66,"Sharda, Smt. Savita",Bharatiya Janata Party,Gujarat,Former,78.0,1 (1999–2005)
67,"Sethi, Shri Ananta",Congress,Odisha,Former,74.0,1 (1996–2002)
68,"Shariq, Shri Sharief Ud-Din",J&K National Conference,Jammu & Kashmir,Former,86.0,"2 (1980–1984, 1996–2002)"
69,"Sharma, Shri Anil",Himachal Vikas Congress,Himachal Pradesh,Former,69.0,1 (1998–2004)
70,"Sharma, Dr. Mahesh Chandra",Bharatiya Janata Party,Rajasthan,Former,77.0,1 (1996–2002)
71,"Shirodkar, Shri Adhik",Shiv Sena,Maharashtra,Former,94.0,1 (1996–2002)
72,"Shourie, Shri Arun",Bharatiya Janata Party,Uttar Pradesh,Former,84.0,"2 (1998–2004, 2004–2010)"
73,"Singh, Shri Amar",Independent & Others,Uttar Pradesh,Former,70.0,"4 (1996–2002, 2002–2008, 2008–2014, 2016–2022)"
74,"Sibal, Shri Kapil",Independent & Others,Uttar Pradesh,Sitting,77.0,"3 (1998–2004, 2016–2022, 2022–2028)"
75,"Singh, Shri Arjun",Indian National Congress,Madhya Pradesh,Former,95.0,"2 (2000–2006, 2006–2012)"
76,"Singh, Shri Devi Prasad",Bharatiya Janata Party,Uttar Pradesh,Former,89.0,1 (1996–2002)
77,"Singh, Shri Jaswant",Bharatiya Janata Party,Rajasthan,Former,88.0,"4 (1980–1986, 1986–1992, 1998–2004, 2004–2010)"
78,"Majitha, Shri Raj Mohinder Singh",Shiromani Akali Dal,Punjab,Former,86.0,"2 (1998–2004, 2004–2010)"
79,"Singh, Shri Raj Nath",Bharatiya Janata Party,Uttar Pradesh,Former,74.0,"3 (1994–2000, 2000–2006, 2002–2008)"
81,"Singh, Shri Surendra Kumar",CONG(I),Chhattisgarh,Former,93.0,"2 (1996–2000, 2000–2002)"
82,"Karan Singh, Dr.",Indian National Congress,National Capital Territory of Delhi,Former,94.0,"4 (1996–1999, 2000–2006, 2006–2012, 2012–2018)"
83,"Soni, Smt. Ambika",Indian National Congress,Punjab,Former,83.0,"5 (1976–1980, 2000–2006, 2004–2010, 2010–2016, 2016–2022)"
84,"Singhal, Shri B.P.",Bharatiya Janata Party,Uttar Pradesh,Former,93.0,1 (1998–2004)
85,"Singhvi, Dr. L.M.",Bharatiya Janata Party,Rajasthan,Former,94.0,1 (1998–2004)
86,"Sinha, Shri Shatrughan",Bharatiya Janata Party,Bihar,Former,79.0,"2 (1996–2002, 2002–2008)"
87,"Sivasubramanian, Shri S.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,88.0,1 (1998–2004)
88,"Solanki, Shri Gopalsinh G.",Bharatiya Janata Party,Gujarat,Former,86.0,"2 (1990–1996, 1996–2002)"
89,"Soren, Shri Shibu",Jharkhand Mukti Morcha,Jharkhand,Former,82.0,"4 (1998–2000, 2000–2004, 2002–2008, 2020–2026)"
90,"Soundararajan, Shri P.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,66.0,1 (1996–2002)
91,"Subbian, Shri Ka. Ra.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,87.0,1 (2000–2002)
92,"Sundaram, Shri N. Thalavai",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,67.0,1 (1996–2002)
93,"Singh 'Surya', Shri Rajnath",Bharatiya Janata Party,Uttar Pradesh,Former,88.0,1 (1996–2002)
94,"Swaraj, Smt. Sushma",Bharatiya Janata Party,Madhya Pradesh,Former,73.0,"3 (1990–1996, 2000–2006, 2006–2012)"
95,"Thiksey, Shri Kushok",J&K National Conference,Jammu & Kashmir,Former,82.0,1 (1998–2002)
96,"Thirunavukkarasu, Shri C.P.",Dravida Munnetra Kazhagam,Puducherry,Former,87.0,1 (1997–2003)
97,"Tohra, Sardar Gurcharan Singh",Shiromani Akali Dal,Punjab,Former,101.0,"5 (1969–1970, 1970–1976, 1980–1982, 1982–1988, 1998–2004)"
98,"Topno, Ms. Frida",Indian National Congress,Odisha,Former,100.0,1 (1998–2002)
99,"Vahadane, Shri Suryabhan Patil",Bharatiya Janata Party,Maharashtra,Former,95.0,1 (1996–2002)
100,"Varma, Prof. R.B.S.",Bharatiya Janata Party,Uttar Pradesh,Former,79.0,"2 (1994–2000, 2000–2006)"
101,"Verma, Shri Vikram",Bharatiya Janata Party,Madhya Pradesh,Former,82.0,"2 (2000–2006, 2006–2012)"
102,"Vanga Geetha, Smt.",Telugu Desam Party,Andhra Pradesh,Former,61.0,1 (2000–2006)
103,"Vijayaraghavan, Shri A.",Communist Party of India (Marxist),Kerala,Former,69.0,"2 (1998–2004, 2004–2010)"
104,"Dhammaviriyo,  Ven'ble",Rashtriya Janata Dal,Jharkhand,Former,86.0,"2 (2000–2000, 2000–2002)"
105,"Virumbi, Shri S. Viduthalai",Dravida Munnetra Kazhagam,Tamil Nadu,Former,86.0,"3 (1989–1989, 1989–1995, 1998–2004)"
106,"Warisa, Shri Prakanta",Autonomous State Demand Committee,Assam,Former,60.0,1 (1996–2002)
107,"Yadav, Shri D.P.",Independent & Others,Uttar Pradesh,Former,75.0,1 (1998–2004)
108,"Yadav, Chaudhary Harmohan Singh",Samajwadi Party,Nominated,Former,104.0,"2 (1990–1996, 1997–2003)"
109,"Yadav, Prof. Ram Gopal",Samajwadi Party,Uttar Pradesh,Sitting,79.0,"5 (1992–1998, 1998–2004, 2008–2014, 2014–2020, 2020–2026)"
110,"Yadav, Shri Ranjan Prasad",Rashtriya Janata Dal,Bihar,Former,77.0,"2 (1990–1996, 1996–2002)"
111,"Yadav, Shri Vijay Singh",Rashtriya Janata Dal,Bihar,Former,73.0,1 (2000–2006)
112,"Zahidi, Shri Khan Ghufran",Indian National Congress,Uttar Pradesh,Former,91.0,"2 (1996–1998, 1998–2004)"
113,"Agarwal, Shri Lakkhiram",Bharatiya Janata Party,Chhattisgarh,Former,93.0,"3 (1990–1996, 1996–2000, 2000–2002)"
114,"Agarwal, Prof. M.M.",Independent & Others,Uttar Pradesh,Former,91.0,1 (2000–2006)
115,"Agarwal, Shri Ramdas",Bharatiya Janata Party,Rajasthan,Former,88.0,"3 (1990–1996, 1996–2002, 2006–2012)"
116,"Agarwalla, Shri Parmeshwar Kumar",Bharatiya Janata Party,Bihar,Former,88.0,"3 (1992–1998, 1998–2000, 2000–2004)"
117,"Agniraj, Shri S.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,92.0,1 (1998–2004)
118,"Ahluwalia, Shri S.S.",Bharatiya Janata Party,Jharkhand,Former,74.0,"5 (1986–1992, 1992–1998, 2000–2006, 2006–2012, 2000–2000)"
119,"Gupta, Dr. Akhilesh Das",Bahujan Samaj Party,Uttar Pradesh,Former,64.0,"3 (1996–2002, 2002–2008, 2008–2014)"
120,"Alphonse, Shri S.Peter",Tamil Maanila Congress (Moopanar),Tamil Nadu,Former,75.0,"2 (1996–2002, 1997–2002)"
121,"Anand, Shri R. K.",Indian National Congress,Bihar,Former,82.0,"2 (2000–2000, 2000–2006)"
122,"Anil Kumar, Shri",Rashtriya Janata Dal,Bihar,Former,68.0,"2 (1992–1998, 1998–2004)"
123,"Apte, Shri Balavant alias Bal",Bharatiya Janata Party,Maharashtra,Former,87.0,"2 (2000–2006, 2006–2012)"
124,"Arya, Shri R.N.",Bahujan Samaj Party,Uttar Pradesh,Former,73.0,1 (1996–2002)
125,"Azad, Shri Gandhi",Bahujan Samaj Party,Uttar Pradesh,Former,79.0,"2 (1996–2002, 2002–2008)"
126,"Azad, Shri Ghulam Nabi",Indian National Congress,Jammu & Kashmir,Former,76.0,"5 (1990–1996, 1996–2002, 2002–2006, 2009–2015, 2015–2021)"
127,"Azmi, Maulana Obaidullah Khan",Indian National Congress,Madhya Pradesh,Former,76.0,"3 (1990–1996, 1996–2000, 2002–2008)"
128,"Azmi, Smt. Shabana",Nominated,Nominated,Former,74.0,1 (1997–2003)
129,"Barupal, Smt. Jamana Devi",Indian National Congress,Rajasthan,Former,91.0,1 (2000–2006)
130,"Basu, Shri Nilotpal",Communist Party of India (Marxist),West Bengal,Former,69.0,"2 (1994–2000, 2000–2006)"
131,"Bhandary, Prof. Ram Deo",Rashtriya Janata Dal,Bihar,Former,86.0,"3 (1992–1998, 1998–2002, 2002–2008)"
132,"Bhardwaj, Shri Hans Raj",Indian National Congress,Haryana,Former,88.0,"5 (1982–1988, 1988–1994, 1994–2000, 2000–2006, 2006–2012)"
133,"Bhatt, Shri Brahmakumar",Indian National Congress,Gujarat,Former,104.0,1 (1996–2002)
134,"Bachani, Shri Lekhraj",Bharatiya Janata Party,Gujarat,Former,96.0,1 (2000–2006)
135,"Bagrodia, Shri Santosh",Indian National Congress,Rajasthan,Former,85.0,"3 (1986–1992, 1998–2004, 2004–2010)"
136,"Bairagi, Shri Balkavi",Indian National Congress,Madhya Pradesh,Former,94.0,1 (1998–2004)
137,"Bakht, Shri Sikander",Bharatiya Janata Party,Madhya Pradesh,Former,107.0,"2 (1990–1996, 1996–2002)"
138,"Raghavan, Shri V.V.",Communist Party of India,Kerala,Former,102.0,1 (2000–2006)
139,"Bangaru Laxman, Shri",Bharatiya Janata Party,Gujarat,Former,86.0,1 (1996–2002)
140,"Bhattacharjee, Shri Karnendu",Indian National Congress,Assam,Former,87.0,"2 (1996–2002, 2002–2008)"
141,"Bhattacharya, Shri Jayanta",Independent & Others,West Bengal,Former,78.0,1 (2000–2006)
142,"Bhendia, Shri Jhumuk Lal",Indian National Congress,Madhya Pradesh,Former,95.0,"2 (1998–2000, 2000–2004)"
143,"Bhunder, Sardar Balwinder Singh",Shiromani Akali Dal,Punjab,Former,81.0,"3 (1998–2004, 2010–2016, 2016–2022)"
144,"Bhutia, Shri K.G.",Sikkim Democratic Front,Sikkim,Former,85.0,1 (2000–2006)
145,"Birla, Shri Krishna Kumar",CONG(I),Rajasthan,Former,107.0,"3 (1984–1990, 1990–1996, 1996–2002)"
146,"Biswas, Shri Debabrata",All India Forward Block,West Bengal,Former,80.0,"4 (1990–1996, 1996–2002, 2002–2008, 2008–2014)"
147,"Bommai, Shri S.R.",Janata Dal,Karnataka,Former,101.0,"2 (1992–1998, 1998–2004)"
148,"Borgohain, Shri Drupad",Communist Party of India,Assam,Former,84.0,1 (1998–2004)
149,"Chandresh Kumari, Smt.",CONG(I),Himachal Pradesh,Former,81.0,1 (1996–2002)
150,"Chaturvedi, Shri T.N.",Bharatiya Janata Party,Uttar Pradesh,Former,98.0,"2 (1992–1998, 1998–2004)"
151,"Chunni Lal, Chaudhary",Bharatiya Janata Party,Uttar Pradesh,Former,92.0,1 (1996–2002)
152,"Chauhan, Shri Dara Singh",Samajwadi Party,Uttar Pradesh,Former,62.0,"2 (1996–2000, 2000–2006)"
153,"Chavan, Shri S.B.",Indian National Congress,Maharashtra,Former,105.0,"3 (1988–1990, 1990–1996, 1996–2002)"
154,"Chitharanjan, Shri J.",Communist Party of India,Kerala,Former,98.0,1 (1997–2003)
155,"Darda, Shri Vijay Jawaharlal",Indian National Congress,Maharashtra,Former,75.0,"3 (1998–2004, 2004–2010, 2010–2016)"
156,"Das, Shri Khagen",Communist Party of India (Marxist),Tripura,Former,88.0,1 (1998–2004)
157,"Das, Dr. M.N.",Indian National Congress,Odisha,Former,100.0,1 (1998–2004)
158,"Das, Dr.(Ms.) P. Selvie",Nominated,Nominated,Former,93.0,1 (1997–2003)
159,"Dasari, Shri N.R.",Communist Party of India,Andhra Pradesh,Former,99.0,1 (1998–2004)
160,"Dasgupta, Dr. Biplab",Communist Party of India (Marxist),West Bengal,Former,87.0,"2 (1994–2000, 2000–2006)"
161,"Dave, Shri Anantray Devshanker",Bharatiya Janata Party,Gujarat,Former,87.0,"2 (1990–1996, 1996–2002)"
162,"Deshmukh, Shri Nana",Nominated,Nominated,Former,109.0,1 (1999–2005)
163,"Devi Lal, Shri",Indian National Lok Dal,Haryana,Former,111.0,1 (1998–2004)
164,"Dhindsa, Sardar Sukhdev Singh",Shiromani Akali Dal,Punjab,Former,89.0,"3 (1998–2004, 2010–2016, 2016–2022)"
165,"Dhyani, Shri Manohar Kant",Bharatiya Janata Party,Uttarakhand,Former,83.0,
166,"Dilip Kumar, Shri Yusuf Sarwar Khan alias",Indian National Congress,Maharashtra,Former,103.0,1 (2000–2006)
167,"Dubey, Smt. Saroj",Rashtriya Janata Dal,Bihar,Former,87.0,1 (1998–2004)
168,"Duggal, Shri Kartar Singh",Nominated,Nominated,Former,108.0,1 (1997–2003)
169,"Duraisamy, Shri V.P.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,76.0,"2 (1995–2001, 1996–2001)"
170,"Faguni   Ram, Dr.",Indian National Congress,Bihar,Former,81.0,"3 (1985–1988, 1988–1994, 2000–2006)"
171,"Mullana, Shri Faqir Chand",Indian National Lok Dal,Haryana,Former,85.0,1 (2000–2006)
172,"Faleiro, Shri Eduardo",Indian National Congress,Goa,Former,85.0,1 (1999–2005)
173,"Fernandes, Shri Oscar",Indian National Congress,Karnataka,Former,84.0,"4 (1998–2004, 2004–2010, 2010–2016, 2016–2022)"
174,"Samal, Shri Man Mohan",Bharatiya Janata Party,Odisha,Former,66.0,1 (2000–2006)
175,"Shukla, Shri Rajeev",Indian National Congress,Chhattisgarh,Sitting,68.0,2022-2028
176,"Singh, Shri Birabhadra",Biju Janata Dal,Odisha,Former,80.0,1 (2000–2006)
177,"Siva, Shri Tiruchi",Dravida Munnetra Kazhagam,Tamil Nadu,Sitting,71.0,"4 (2000–2002, 2007–2013, 2014–2020, 2020–2026)"
178,"Manhar, Shri Bhagatram",Indian National Congress,Chhattisgarh,Former,87.0,"4 (1978–1984, 1984–1990, 2000–2000, 2000–2006)"
179,"Manian, Shri O. S.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,69.0,1 (1995–2001)
180,"Mishra, Shri Dina Nath",Bharatiya Janata Party,Uttar Pradesh,Former,88.0,1 (1998–2004)
181,"Mishra, Shri Janeshwar",Samajwadi Party,Uttar Pradesh,Former,92.0,"3 (1994–2000, 2000–2006, 2006–2012)"
182,"Misra, Shri Ranganath",Indian National Congress,Odisha,Former,99.0,1 (1998–2004)
183,"Moopanar, Shri G. K.",Tamil Maanila Congress (Moopanar),Tamil Nadu,Former,94.0,"4 (1977–1983, 1983–1989, 1995–2001, 1998–2004)"
184,"Mukherjee, Shri Dipankar",Communist Party of India (Marxist),West Bengal,Former,82.0,"2 (1994–2000, 2000–2006)"
185,"Mukherjee, Shri Pranab",Indian National Congress,West Bengal,Former,90.0,"5 (1969–1975, 1975–1981, 1981–1987, 1993–1999, 1999–2005)"
186,"Murty, Dr. Y. Radhakrishna",Communist Party of India (Marxist),Andhra Pradesh,Former,97.0,1 (1996–2002)
187,"Murthy, Shri M. Rajasekara",Janata Dal (Secular),Karnataka,Former,103.0,"3 (1994–1999, 2000–2006, 2006–2012)"
188,"Murthy, Shri K. B. Krishna",Indian National Congress,Karnataka,Former,70.0,1 (2000–2006)
189,"Nahata, Smt. Jayaprada",Telugu Desam Party,Andhra Pradesh,Former,63.0,1 (1996–2002)
190,"Naidu, Shri M. Venkaiah",Bharatiya Janata Party,Rajasthan,Former,76.0,"4 (1998–2004, 2004–2010, 2010–2016, 2016–2022)"
191,"Nandy, Shri Pritish",Shiv Sena,Maharashtra,Former,75.0,1 (1998–2004)
192,"Narendra Mohan, Shri",Bharatiya Janata Party,Uttar Pradesh,Former,91.0,1 (1996–2002)
193,"Nariman, Shri Fali S.",Nominated,Nominated,Former,97.0,1 (1999–2005)
194,"Natarajan, Smt. Jayanthi",Indian National Congress,Tamil Nadu,Former,71.0,"4 (1986–1992, 1992–1998, 1997–2001, 2008–2014)"
195,"Nayyar, Shri Kuldip",Nominated,Nominated,Former,102.0,1 (1997–2003)
196,"Niraikulathan, Shri S.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,80.0,1 (1996–2002)
197,"Nirupam, Shri Sanjay",Shiv Sena,Maharashtra,Former,60.0,"2 (1996–2000, 2000–2006)"
198,"Nongtdu, Shri Onward L.",Indian National Congress,Meghalaya,Former,85.0,1 (1996–2002)
199,"Ojha, Shri Nagendra Nath",Communist Party of India,Bihar,Former,79.0,1 (1996–2002)
200,"Pachouri, Shri Suresh",Indian National Congress,Madhya Pradesh,Former,73.0,"4 (1984–1990, 1990–1996, 1996–2002, 2002–2008)"
201,"Panda, Shri B. J.",Biju Janata Dal,Odisha,Former,62.0,"2 (2000–2006, 2006–2012)"
202,"Pandey, Smt. Chandra Kala",Communist Party of India (Marxist),West Bengal,Former,83.0,"2 (1993–1999, 1999–2005)"
203,"Parmar, Shri Kripal",Bharatiya Janata Party,Himachal Pradesh,Former,66.0,1 (2000–2006)
204,"Raju Parmar, Shri",Indian National Congress,Gujarat,Former,75.0,"3 (1988–1994, 1994–2000, 2000–2006)"
205,"Patel, Shri Ahmed",Indian National Congress,Gujarat,Former,76.0,"5 (1993–1999, 1999–2005, 2005–2011, 2011–2017, 2017–2023)"
206,"Patel, Dr. A. K.",Bharatiya Janata Party,Gujarat,Former,94.0,1 (2000–2006)
207,"Patel, Shri Mukesh R.",Nationalist Congress Party,Maharashtra,Former,71.0,"2 (1996–2002, 2002–2008)"
208,"Patel, Shri Praful",Nationalist Congress Party,Maharashtra,Sitting,68.0,"6 (2000–2006, 2006–2012, 2014–2016, 2016–2022, 2022–2028, 2024–2030)"
209,"Pillai, Shri S. Ramachandran",Communist Party of India (Marxist),Kerala,Former,87.0,"2 (1991–1997, 1997–2003)"
210,"Poulose, Shri C. O.",Communist Party of India (Marxist),Kerala,Former,88.0,1 (1998–2003)
211,"Pradhan, Shri Satish",Shiv Sena,Maharashtra,Former,85.0,"2 (1992–1998, 1998–2004)"
212,"Mahendra Prasad, Dr.",Janata Dal (United),Bihar,Former,86.0,"7 (1985–1986, 1986–1992, 1993–1994, 2000–2006, 2006–2012, 2012–2018, 2018–2024)"
213,"Punj, Shri Balbir",Bharatiya Janata Party,Odisha,Former,76.0,"2 (2000–2006, 2008–2014)"
214,"Prasad, Shri Ravi Shankar",Bharatiya Janata Party,Bihar,Former,71.0,"4 (2000–2006, 2006–2012, 2012–2018, 2018–2024)"
215,"Goenka, Shri R.P.",Indian National Congress,Rajasthan,Former,95.0,1 (2000–2006)
216,"Qureshi, Shri Abdul Gaiyur",Congress,Madhya Pradesh,Former,93.0,1 (1996–2002)
217,"Rai, Smt. Kum Kum",Rashtriya Janata Dal,Bihar,Former,71.0,1 (2000–2006)
218,"Rai, Shri Lajpat",Bharatiya Janata Party,Punjab,Former,107.0,1 (1998–2004)
219,"Raikar, Smt. Bimba",Indian National Congress,Karnataka,Former,92.0,1 (2000–2006)
220,"Rajagopal, Shri O.",Bharatiya Janata Party,Madhya Pradesh,Former,96.0,"2 (1992–1998, 1998–2004)"
221,"Rajendran, Shri N.",Independent & Others,Tamil Nadu,Former,71.0,1 (1995–2001)
222,"Rajkumar, Dr. Alladi P.",Telugu Desam Party,Andhra Pradesh,Former,74.0,"2 (1994–2000, 2000–2006)"
223,"Ramachandraiah, Shri C.",Telugu Desam Party,Andhra Pradesh,Former,77.0,"2 (1998–2004, 2004–2010)"
224,"Ramaswamy, Shri Cho S.",Nominated,Nominated,Former,91.0,1 (1999–2005)
225,"Raja Ramanna, Dr.",Nominated,Nominated,Former,100.0,"2 (1990–1992, 1997–2003)"
226,"Ramoowalia, Shri Balwant Singh",Independent & Others,Uttar Pradesh,Former,83.0,1 (1996–2002)
227,"Rao, Dr. Dasari Narayana",Indian National Congress,Andhra Pradesh,Former,78.0,"2 (2000–2006, 2006–2012)"
228,"Rao, Dr. D. Venkateshwar",Bharatiya Janata Party,Andhra Pradesh,Former,72.0,1 (1996–2002)
229,"Rao, Shri K. Kalavenkata",Telugu Desam Party,Andhra Pradesh,Former,72.0,1 (1998–2004)
230,"Rao, Shri Yadlapati Venkat",Telugu Desam Party,Andhra Pradesh,Former,106.0,1 (1998–2004)
231,"Rao, Shri K. Rama Mohana",Telugu Desam Party,Andhra Pradesh,Former,67.0,1 (2000–2006)
232,"Rashid, Mirza Abdul",J&K National Conference,Jammu & Kashmir,Former,89.0,1 (2000–2002)
233,"Yadav 'Ravi', Dr. Ramendra Kumar",Rashtriya Janata Dal,Bihar,Former,83.0,"2 (1992–1998, 1998–2004)"
234,"Premachandran, Shri N. K.",Revolutionary Socialist Party,Kerala,Former,65.0,1 (2000–2006)
235,"Ray, Prof.(Smt) Bharati",Communist Party of India (Marxist),West Bengal,Former,91.0,1 (1996–2002)
236,"Ray, Shri Dilip",Independent & Others,Odisha,Former,71.0,"2 (1996–2002, 2002–2008)"
237,"Rebello, Ms. Mabel",Indian National Congress,Jharkhand,Former,75.0,"2 (1998–2004, 2006–2012)"
