srno,member_name,party,state_ut,status,age,term
2025,"Roy, Shri Mukul",All India Trinamool Congress,West Bengal,Former,71.0,"2 (2006–2012, 2012–2018)"
2026,"Pathak, Shri Saman",Communist Party of India (Marxist),West Bengal,Former,52.0,1 (2006–2012)
2027,"Madani, Shri Mahmood A.",Rashtriya Lok Dal,Uttar Pradesh,Former,61.0,1 (2006–2012)
2029,"Singhvi, Dr. Abhishek Manu",Indian National Congress,Telangana,Sitting,66.0,"4 (2006–2012, 2012–2018, 2018–2024, 2024–2026)"
2030,"Balmiki, Shri Krishan Lal",Bharatiya Janata Party,Rajasthan,Former,83.0,1 (2006–2012)
2032,"Khan, Shri Amir Alam",Samajwadi Party,Uttar Pradesh,Former,67.0,1 (2006–2010)
2033,"Aslam, Chowdhary Mohammad",Indian National Congress,Jammu & Kashmir,Former,86.0,1 (2006–2008)
2034,"Bajaj, Shri Rahul",Independent & Others,Maharashtra,Former,87.0,1 (2006–2010)
2035,"Ismail, Shri K.E.",Communist Party of India,Kerala,Former,86.0,1 (2006–2012)
2036,"Rajan, Shri P.R.",Communist Party of India (Marxist),Kerala,Former,89.0,1 (2006–2012)
2037,"Kumaran, Shri K.P.K.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,60.0,1 (2006–2007)
2038,"Sule, Smt. Supriya",Nationalist Congress Party,Maharashtra,Former,56.0,1 (2006–2012)
2039,"Tiwari, Shri B.B.",Samajwadi Party,Uttar Pradesh,Former,84.0,"2 (2006–2010, 2012–2018)"
2040,"Gujral, Shri Naresh",Shiromani Akali Dal,Punjab,Former,77.0,"3 (2007–2010, 2010–2016, 2016–2022)"
2041,"Ram Prakash, Dr.",Indian National Congress,Haryana,Former,86.0,"2 (2007–2008, 2008–2014)"
2042,"Swaminathan, Prof. M.S.",Nominated,Nominated,Former,100.0,1 (2007–2013)
2043,"Das, Shri Kumar Deepak",Asom Gana Parishad,Assam,Former,67.0,1 (2007–2013)
